Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules),Context
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in. (shore accessible range),9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.,Shore
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in. (boat marks deeper/offshore),9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.,Boat
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m. (shore accessible range),9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Shore
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m. (boat marks deeper/offshore),9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Boat
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands. (shore accessible range),6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.,Shore
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands. (boat marks deeper/offshore),6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.,Boat
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore. (shore accessible range),6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Shore
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore. (boat marks deeper/offshore),6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Boat
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; slack water sight‑polaroiding works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m. (shore accessible range)",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.,Shore
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; slack water sight‑polaroiding works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m. (boat marks deeper/offshore)",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.,Boat
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell hampers presentation.,"Shallow rough ground 5–20 m from beaches, piers, rocks.",9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.,Shore
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell hampers presentation.,Deeper rough ground and wrecks 20–60 m.,9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.,Boat
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed. (shore accessible range),7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA).",Shore
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed. (boat marks deeper/offshore),7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA).",Boat
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m. (shore accessible range)",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Shore
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m. (boat marks deeper/offshore)",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Boat
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in coloured water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches). (shore accessible range),7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.,Shore
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in coloured water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches). (boat marks deeper/offshore),7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.,Boat
Sardine,"Atlantic, Mediterranean",𐄳 (Bait fish) Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays. (shore accessible range),8,Commercial controls common; recreational limits vary—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Spain/Portugal DGRM/MAPA; France OFB.,Shore
Sardine,"Atlantic, Mediterranean",𐄳 (Bait fish) Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays. (boat marks deeper/offshore),8,Commercial controls common; recreational limits vary—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Spain/Portugal DGRM/MAPA; France OFB.,Boat
Herring,"North Sea, Baltic, Atlantic",𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks. (shore accessible range),9,Closed seasons/areas common—verify before fishing. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic/North Sea national agencies.,Shore
Herring,"North Sea, Baltic, Atlantic",𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks. (boat marks deeper/offshore),9,Closed seasons/areas common—verify before fishing. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic/North Sea national agencies.,Boat
Sprat,"Baltic, North Sea",𐄳 (Bait fish) Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm turbidity disperses.",Surface shoals 0–30 m in bays/ports. (shore accessible range),7,Often regulated with seasonal closures—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic national agencies; port by‑laws.,Shore
Sprat,"Baltic, North Sea",𐄳 (Bait fish) Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm turbidity disperses.",Surface shoals 0–30 m in bays/ports. (boat marks deeper/offshore),7,Often regulated with seasonal closures—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic national agencies; port by‑laws.,Boat
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore. (shore accessible range),9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA).",Shore
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore. (boat marks deeper/offshore),9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA).",Boat
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over contours/banks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches. (shore accessible range),10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Shore
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over contours/banks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches. (boat marks deeper/offshore),10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Boat
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,"Very close to surf edges, drop‑offs, river mouths; 0–3 m.",9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies.",Shore
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,Less targeted by boat; trolling near shorelines 3–10 m depth.,9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies.",Boat
Pollack,"Atlantic, North Sea",Dawn/dusk; overcast days with lures,Moderate; works tide races around reefs/wrecks,"Artificial lures (soft plastics, metals), sandeel, mackerel strip",Active in mild water; slows in extreme cold/heat,Clear settled seas with some tidal run; poor in turbid storm water,"Kelp beds, reefs 5–30m close to rocks",8,MLS ~30cm+ locally; check rules,National fisheries agencies,Shore
Pollack,"Atlantic, North Sea",Dawn/dusk; overcast days with lures,Moderate; works tide races around wrecks and reefs,"Artificial lures, fish strips; predatory",Active in mild water; slows in extreme cold/heat,Clear settled seas; turbid storm water reduces success,Wrecks and offshore reefs 20–100m,8,MLS ~30cm+ locally; check rules,National fisheries agencies,Boat
Plaice,"Atlantic, North Sea",Daylight,Better on flooding tide,"Worms, clams, mussels; bottom grazer",Mild/cool best; sluggish in cold winter,Clear calm seas favour sight feeding,"Beaches and estuaries, 2–10m",8,MLS 27cm in UK/Europe; seasonal closures,National fisheries agencies,Shore
Plaice,"Atlantic, North Sea",Daylight,Better on flooding tide,"Worms, clams, mussels; bottom grazer",Mild/cool best; sluggish in cold winter,Clear calm seas favour sight feeding,Drifting over offshore banks 10–40m,8,MLS 27cm in UK/Europe; seasonal closures,National fisheries agencies,Boat
Dab,"Atlantic, North Sea",Daylight,Moderate tidal influence,"Small worms, shrimps; bottom feeder","Tolerant to cold, feeds year-round",Less impacted by rough seas than other flatfish,"Beaches, piers, sandy ground 2–20m",6,"No major restrictions; often small, returned",National fisheries agencies,Shore
Dab,"Atlantic, North Sea",Daylight,Moderate tidal influence,"Small worms, shrimps; bottom feeder","Tolerant to cold, feeds year-round",Less impacted by rough seas than other flatfish,Soft muddy seabeds 20–40m,6,"No major restrictions; often small, returned",National fisheries agencies,Boat
Dover Sole,"Atlantic, North Sea",Night/dusk,Strong on flooding tide,"Worms, ragworm, small crab; benthic feeder",Prefers warmer summer/autumn; winter slow,Settled calm seas best,"Sandy beaches, shallow mud 2–15m",9,MLS 24cm+; quotas apply,National fisheries agencies,Shore
Dover Sole,"Atlantic, North Sea",Night/dusk,Strong on flooding tide,"Worms, ragworm, small crab; benthic feeder",Prefers warmer summer/autumn; winter slow,Settled calm seas best,Drifting soft grounds 20–40m,9,MLS 24cm+; quotas apply,National fisheries agencies,Boat
Thornback Ray,"Atlantic, North Sea",Dusk/night with moving tide,Strong tidal run improves feeding,"Whole squid, mackerel, sandeel; small fish/crustaceans",Prefers mild–warm water; sluggish in cold,Feeds well after mild storms stirring prey,Sandy bays 5–20m,8,Size/bag restrictions in some countries,National fisheries agencies,Shore
Thornback Ray,"Atlantic, North Sea",Dusk/night with moving tide,Strong tidal run improves feeding,"Whole squid, mackerel, sandeel; small fish/crustaceans",Prefers mild–warm water; sluggish in cold,Feeds well after mild storms stirring prey,Deeper sands/channels 20–60m,8,Size/bag restrictions in some countries,National fisheries agencies,Boat
Small-spotted Catshark,"Atlantic, North Sea",Night,Not tide sensitive,Smelly fish/squid baits; scavenger,Active in wide temp range,Feeds happily in coloured post-storm water,"Surf beaches, estuaries 5–20m",6,Generally no restrictions; often released,National fisheries agencies,Shore
Small-spotted Catshark,"Atlantic, North Sea",Night,Not tide sensitive,Smelly fish/squid baits; scavenger,Active in wide temp range,Feeds happily in coloured post-storm water,Sandy/mud seabeds 20–100m,6,Generally no restrictions; often released,National fisheries agencies,Boat
Gilthead Seabream,"Mediterranean, Southern Atlantic",Dawn/dusk; warm months,Strong on flooding tide,"Crabs, prawns, mussels; crushes shellfish with molars",Likes ≥15°C; sluggish in cold,Light onshore chop good; too much surf bad,"Estuaries, harbours 2–10m",9,MLS ~20–23cm+; bag limits in Med countries,Regional Med fisheries agencies,Shore
Gilthead Seabream,"Mediterranean, Southern Atlantic",Dawn/dusk; warm months,Strong on flooding tide,"Crabs, prawns, mussels; crushes shellfish with molars",Likes ≥15°C; sluggish in cold,Light onshore chop good; too much surf bad,"Reefs, sandy bays 10–30m",9,MLS ~20–23cm+; bag limits in Med countries,Regional Med fisheries agencies,Boat
Red Seabream,"Mediterranean, Southern Atlantic",Daytime,Moderate tide influence,"Crabs, shellfish, squid; powerful jawed feeder",Prefers warmer Med/Atlantic waters,Clear settled seas best,Deep rocky reefs 20–100m,9,Size/bag restrictions vary,Regional Med fisheries agencies,Boat
Black Seabream,"Mediterranean, Atlantic",Dawn/daylight,Moderate; likes flowing water,"Shellfish, worms, squid; omnivore",Prefers mild–warm; spawns spring inshore,Feeds in calm/light chop,"Piers, rocky ground 5–15m",8,Spawning aggregations protected,Regional Med fisheries agencies,Shore
Black Seabream,"Mediterranean, Atlantic",Dawn/daylight,Moderate; likes flowing water,"Shellfish, worms, squid; omnivore",Prefers mild–warm; spawns spring inshore,Feeds in calm/light chop,"Reefs, wrecks 20–50m",8,Spawning aggregations protected,Regional Med fisheries agencies,Boat
Dentex,Mediterranean,Daytime,Moderate tidal effect,"Live fish, squid; predatory",Active in warm Med summers,Best in clear calm seas,Deep rocky reefs 20–100m,9,Strict MLS ~30–35cm; local protections,Regional Med fisheries agencies,Boat
Flathead Grey Mullet,"Atlantic, Mediterranean",Dawn/evening; calm days,Strong in estuaries on flooding tide,"Bread, algae, harbour detritus; filter feeder",Best in mild–warm months; cold snaps shut down,After rain in estuaries good; spooked by wind/boat noise,"Harbours, estuaries, surf zones 0–10m",7,Often no EU MLS; local rules apply,National fisheries agencies,Shore
Tub Gurnard,"Atlantic, Mediterranean",Daytime,Moderate; over sandy/mixed ground,"Small fish, shrimp, crab; hunts on seabed",Feeds in warmer seas; less in cold winters,Feeds well in moderate chop,Shallows 5–15m,7,MLS varies; often kept for food,National fisheries agencies,Shore
Tub Gurnard,"Atlantic, Mediterranean",Daytime,Moderate; over sandy/mixed ground,"Small fish, shrimp, crab; hunts on seabed",Feeds in warmer seas; less in cold winters,Feeds well in moderate chop,Boat drifts 20–60m over sand/mud,7,MLS varies; often kept for food,National fisheries agencies,Boat
