Species,Short Bio
Plaice,Plaice: Daylight. Loves worms. Those orange spots? Likely a fashion statement: they help camouflage on speckled sand.
Pollack,Pollack: Dawn/dusk; overcast days with lures. Loves artificial lures (soft plastics. Can hang so tight to kelp that divers mistake them for 
Red Mullet,"Red Mullet: Daytime; dawn on calm, clear days. Loves small worms. Romans displayed them alive at banquets before serving."
Red Seabream,"Red Seabream: Daytime. Loves crabs. In Spain it’s ‘besugo’, a Christmas feast fish in some regions."
Saithe (Pollachius virens),Saithe (Pollachius virens): Dawn/dusk; overcast days fish well with lures. Loves metal jigs. Nickname ‘coal-fish’ for its dark back; youngst
Saithe/Pollock,Saithe/Pollock: Dawn/dusk; overcast days with lures. Loves metals. Sold as ‘Seelachs’ in Germany—‘sea salmon’ despite zero salmon DNA.
Sand Eel,Sand Eel: Daylight and dusk when shoals move along the beach; night with lights in some harbours. Loves tiny sabiki or small hooks; feeds on
Sardine,Sardine: 𐄳 (Bait fish) Night under lights; dawn when bait shoals push in. Loves tiny sabiki; plankton feeder.. Likely gave its name to Sardi
Sea Bass,Sea Bass: Dawn/dusk; warm months. Loves crab. Roman elites farmed sea bass in coastal ponds; a VIP fish since antiquity.
Sea Bream (Dorada),Sea Bream (Dorada): Dawn/dusk; warm months. Loves crab. The ‘gilt-head’ name comes from the golden band between the eyes.
Sea Trout,"Sea Trout: Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs. Loves spinners. Irish lore calls it the ‘white trout’,"
Small-spotted Catshark,Small-spotted Catshark: Night. Loves smelly fish/squid baits; scavenger. Can rest in piles like sleepy puppies under ledges.
Spotted Bass,Spotted Bass: Dawn/dusk; warm months and at night over quiet beaches. Loves crabs. Easily mistaken for young sea bass—spot pattern gives it 
Sprat,Sprat: 𐄳 (Bait fish) Night under lights; winter harbours. Loves very fine sabiki; plankton feeder.. Gave rise to the phrase ‘a sprat to catc
Thornback Ray,Thornback Ray: Dusk/night with moving tide. Loves whole squid. Males ‘drum’ with their spiracles—underwater love songs.
Tub Gurnard,Tub Gurnard: Daytime. Loves small fish. ‘Walks’ the seabed on fin rays while drumming audibly—a noisy neighbour.
Turbot (Small),Turbot (Small): Dawn/dusk drifts over sandbanks. Loves whole sandeel. A royal favourite—Vikings even paid tribute in turbot.
Whiting,Whiting: Night & low‑light; peaks in colder months inshore. Loves small strips of mackerel/squid. Victorian cooks dubbed it the “chicken of 
Wrasse (various),"Wrasse (various): Daylight, especially flood tide over kelp/rocks. Loves crab. Norse tales said wrasse nibbled the nails of drowned sailors "
