Species,Cheeky Bio,Short Bio
Flounder,"Flounder: Dusk/night and daylight in murky water; autumn–winter strong. Loves worms, shrimp, small crab; opportunistic scavenger.. Fun fact: Can live in nearly fresh water and wander far upriver.",Flounder: Dusk/night and daylight in murky water; autumn–winter strong. Loves worms. Can live in nearly fresh water and wander far upriver.
Garfish (Needlefish),Garfish (Needlefish): Daylight & dusk in spring runs; also at night under lights. Loves small surface lures/float baits; eats sprats/sandeels.. Fun fact: Its bones are green—thanks to bile pigments—spooking diners for ages.,Garfish (Needlefish): Daylight & dusk in spring runs; also at night under lights. Loves small surface lures/float baits; eats sprats/sandeel
Gilthead Seabream,"Gilthead Seabream: Dawn/dusk; warm months. Loves crabs, prawns, mussels; crushes shellfish with molars. Fun fact: Farmed widely in the Med since the 1980s boom in aquaculture.",Gilthead Seabream: Dawn/dusk; warm months. Loves crabs. Farmed widely in the Med since the 1980s boom in aquaculture.
Greater Amberjack,"Greater Amberjack: Dawn and late afternoon; summer into autumn. Loves livebaits (mackerel, bogue), big stickbaits and jigs; apex predator on small fish.. Fun fact: Name nods to the glowing amber stripe along its flank.",Greater Amberjack: Dawn and late afternoon; summer into autumn. Loves livebaits (mackerel. Name nods to the glowing amber stripe along its f
Greater Weever,Greater Weever: Sunny calm days over warm sand; also dusk. Loves small worms and prawn pieces; ambush predator on sand flats.. Fun fact: Venomous spines gave rise to ‘wear shoes on the beach’ warnings.,Greater Weever: Sunny calm days over warm sand; also dusk. Loves small worms and prawn pieces; ambush predator on sand flats.. Venomous spin
Grey Mullet,"Grey Mullet: Evening/dawn; sight‑feeding in daylight on calm days. Loves bread, tiny worms, harbour detritus; filter‑grazer.. Fun fact: Painted on Egyptian tomb walls—4,000 years of mullet culture.","Grey Mullet: Evening/dawn; sight‑feeding in daylight on calm days. Loves bread. Painted on Egyptian tomb walls—4,000 years of mullet culture"
Haddock,"Haddock: Daylight and dusk; autumn–spring are strongest inshore. Loves worm baits, clam/mussel, small fish or squid strips; pecks shellfish and small invertebrates.. Fun fact: The dark ‘Devil’s thumbprint’ mark is a fishy folk tale classic.",Haddock: Daylight and dusk; autumn–spring are strongest inshore. Loves worm baits. The dark ‘Devil’s thumbprint’ mark is a fishy folk tale c
Herring,Herring: 𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas. Loves sabiki/small spoons; plankton/small fish.. Fun fact: The ‘silver darlings’ once powered whole coastal economies.,Herring: 𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas. Loves sabiki/small spoons; plankton/small fish.. The ‘silver darlings’ 
Horse Mackerel,"Horse Mackerel: Dusk to night under lights; also at first light. Loves fine sabiki, tiny metals; eats zooplankton, small fish/larvae.. Fun fact: Called “scad” in old English; long dismissed, now loved as carapau in Portugal.","Horse Mackerel: Dusk to night under lights; also at first light. Loves fine sabiki. Called “scad” in old English; long dismissed, now loved "
John Dory,John Dory: Daytime; dawn on reefs/wrecks. Loves livebaits/squid; predator on small fish.. Fun fact: Folklore says St Peter’s thumbprint marks its side.,John Dory: Daytime; dawn on reefs/wrecks. Loves livebaits/squid; predator on small fish.. Folklore says St Peter’s thumbprint marks its side
Little Tunny,"Little Tunny: First light and late afternoon; active whenever bait showers on the surface. Loves fast metals, casting jigs, stickbaits; blitzes anchovy/sardine/sprat shoals.. Fun fact: Anglers sometimes kept its marbled stomach lining as lucky charms.",Little Tunny: First light and late afternoon; active whenever bait showers on the surface. Loves fast metals. Anglers sometimes kept its mar
Mackerel,"Mackerel: Daylight when shoals are in; dawn/evening peaks in summer. Loves feathers/sabiki, small metals; eats sprats, sandeels, krill/zooplankton.. Fun fact: Their zebra stripes act like natural dazzle-camouflage against predators.",Mackerel: Daylight when shoals are in; dawn/evening peaks in summer. Loves feathers/sabiki. Their zebra stripes act like natural dazzle-camo
Megrim,"Megrim: Daytime drifts. Loves small fish strips, sandeel, squid; ambush feeder on sand/mud.. Fun fact: Known as ‘gallo’ in Spain—common on Galician menus.",Megrim: Daytime drifts. Loves small fish strips. Known as ‘gallo’ in Spain—common on Galician menus.
Parrotfish,"Parrotfish: Daylight; calm, clear days. Loves shellfish, prawns, small crabs; scrapes algae and grazes.. Fun fact: Their ground-up coral ‘sand’ literally helps build beaches.","Parrotfish: Daylight; calm, clear days. Loves shellfish. Their ground-up coral ‘sand’ literally helps build beaches."
Plaice,"Plaice: Daylight. Loves worms, clams, mussels; bottom grazer. Fun fact: Those orange spots? Likely a fashion statement: they help camouflage on speckled sand.",Plaice: Daylight. Loves worms. Those orange spots? Likely a fashion statement: they help camouflage on speckled sand.
Pollack,"Pollack: Dawn/dusk; overcast days with lures. Loves artificial lures (soft plastics, metals), sandeel, mackerel strip. Fun fact: Can hang so tight to kelp that divers mistake them for shadows.",Pollack: Dawn/dusk; overcast days with lures. Loves artificial lures (soft plastics. Can hang so tight to kelp that divers mistake them for 
Red Mullet,"Red Mullet: Daytime; dawn on calm, clear days. Loves small worms, shrimps; uses barbels to root crustaceans.. Fun fact: Romans displayed them alive at banquets before serving.","Red Mullet: Daytime; dawn on calm, clear days. Loves small worms. Romans displayed them alive at banquets before serving."
Red Seabream,"Red Seabream: Daytime. Loves crabs, shellfish, squid; powerful jawed feeder. Fun fact: In Spain it’s ‘besugo’, a Christmas feast fish in some regions.","Red Seabream: Daytime. Loves crabs. In Spain it’s ‘besugo’, a Christmas feast fish in some regions."
Saithe (Pollachius virens),"Saithe (Pollachius virens): Dawn/dusk; overcast days fish well with lures. Loves metal jigs, shads, sandeel/mackerel strip; chases small fish tightly packed.. Fun fact: Nickname ‘coal-fish’ for its dark back; youngsters can glow faintly in plankton at night.",Saithe (Pollachius virens): Dawn/dusk; overcast days fish well with lures. Loves metal jigs. Nickname ‘coal-fish’ for its dark back; youngst
Saithe/Pollock,"Saithe/Pollock: Dawn/dusk; overcast days with lures. Loves metals, soft plastics, sandeel/mackerel strip; eats small fish.. Fun fact: Sold as ‘Seelachs’ in Germany—‘sea salmon’ despite zero salmon DNA.",Saithe/Pollock: Dawn/dusk; overcast days with lures. Loves metals. Sold as ‘Seelachs’ in Germany—‘sea salmon’ despite zero salmon DNA.
Sand Eel,Sand Eel: Daylight and dusk when shoals move along the beach; night with lights in some harbours. Loves tiny sabiki or small hooks; feeds on plankton and tiny crustaceans.. Fun fact: Not eels at all—burrowing fish that underpin North Sea food webs.,Sand Eel: Daylight and dusk when shoals move along the beach; night with lights in some harbours. Loves tiny sabiki or small hooks; feeds on
Sardine,Sardine: 𐄳 (Bait fish) Night under lights; dawn when bait shoals push in. Loves tiny sabiki; plankton feeder.. Fun fact: Likely gave its name to Sardinia—historic hotbed of sardine fishing.,Sardine: 𐄳 (Bait fish) Night under lights; dawn when bait shoals push in. Loves tiny sabiki; plankton feeder.. Likely gave its name to Sardi
Sea Bass,"Sea Bass: Dawn/dusk; warm months. Loves crab, rag/lugworm, sandeel, small fish; hunts sprats, prawns, shore crabs.. Fun fact: Roman elites farmed sea bass in coastal ponds; a VIP fish since antiquity.",Sea Bass: Dawn/dusk; warm months. Loves crab. Roman elites farmed sea bass in coastal ponds; a VIP fish since antiquity.
Sea Bream (Dorada),"Sea Bream (Dorada): Dawn/dusk; warm months. Loves crab, prawn, mussel; cracks shellfish with strong molars.. Fun fact: The ‘gilt-head’ name comes from the golden band between the eyes.",Sea Bream (Dorada): Dawn/dusk; warm months. Loves crab. The ‘gilt-head’ name comes from the golden band between the eyes.
Sea Trout,"Sea Trout: Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs. Loves spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.. Fun fact: Irish lore calls it the ‘white trout’, an enchanted salmon.","Sea Trout: Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs. Loves spinners. Irish lore calls it the ‘white trout’,"
Small-spotted Catshark,Small-spotted Catshark: Night. Loves smelly fish/squid baits; scavenger. Fun fact: Can rest in piles like sleepy puppies under ledges.,Small-spotted Catshark: Night. Loves smelly fish/squid baits; scavenger. Can rest in piles like sleepy puppies under ledges.
Spotted Bass,"Spotted Bass: Dawn/dusk; warm months and at night over quiet beaches. Loves crabs, prawns, mussels, sandeel and small fish; takes small lures readily.. Fun fact: Easily mistaken for young sea bass—spot pattern gives it away.",Spotted Bass: Dawn/dusk; warm months and at night over quiet beaches. Loves crabs. Easily mistaken for young sea bass—spot pattern gives it 
Sprat,Sprat: 𐄳 (Bait fish) Night under lights; winter harbours. Loves very fine sabiki; plankton feeder.. Fun fact: Gave rise to the phrase ‘a sprat to catch a mackerel.’,Sprat: 𐄳 (Bait fish) Night under lights; winter harbours. Loves very fine sabiki; plankton feeder.. Gave rise to the phrase ‘a sprat to catc
Thornback Ray,"Thornback Ray: Dusk/night with moving tide. Loves whole squid, mackerel, sandeel; small fish/crustaceans. Fun fact: Males ‘drum’ with their spiracles—underwater love songs.",Thornback Ray: Dusk/night with moving tide. Loves whole squid. Males ‘drum’ with their spiracles—underwater love songs.
Tub Gurnard,"Tub Gurnard: Daytime. Loves small fish, shrimp, crab; hunts on seabed. Fun fact: ‘Walks’ the seabed on fin rays while drumming audibly—a noisy neighbour.",Tub Gurnard: Daytime. Loves small fish. ‘Walks’ the seabed on fin rays while drumming audibly—a noisy neighbour.
Turbot (Small),"Turbot (Small): Dawn/dusk drifts over sandbanks. Loves whole sandeel, fish strips; ambush predator.. Fun fact: A royal favourite—Vikings even paid tribute in turbot.",Turbot (Small): Dawn/dusk drifts over sandbanks. Loves whole sandeel. A royal favourite—Vikings even paid tribute in turbot.
Whiting,"Whiting: Night & low‑light; peaks in colder months inshore. Loves small strips of mackerel/squid, worms; eats shrimp/small fish.. Fun fact: Victorian cooks dubbed it the “chicken of the sea.”",Whiting: Night & low‑light; peaks in colder months inshore. Loves small strips of mackerel/squid. Victorian cooks dubbed it the “chicken of 
Wrasse (various),"Wrasse (various): Daylight, especially flood tide over kelp/rocks. Loves crab, prawn, shellfish; picks in kelp/rock crevices.. Fun fact: Norse tales said wrasse nibbled the nails of drowned sailors (grim, but memorable).","Wrasse (various): Daylight, especially flood tide over kelp/rocks. Loves crab. Norse tales said wrasse nibbled the nails of drowned sailors "
