Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules)
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell hampers presentation.,Shallow rough ground 5–40 m (coastal stocks).,9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed.,7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA)."
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m.",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in coloured water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches).,7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.
Sardine,"Atlantic, Mediterranean",Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays.,8,Commercial controls common; recreational limits vary—check locally.,Spain/Portugal DGRM/MAPA; France OFB.
Herring,"North Sea, Baltic, Atlantic",Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks.,9,Closed seasons/areas common—verify before fishing.,Baltic/North Sea national agencies.
Sprat,"Baltic, North Sea",Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm turbidity disperses.",Surface shoals 0–30 m in bays/ports.,7,Often regulated with seasonal closures—check locally.,Baltic national agencies; port by‑laws.
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore.,9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA)."
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over contours/banks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches.,10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,Very close to shore along seams/drop‑offs; 0–5 m.,9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies."
