Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules),Context,Conservation Status,Fun Fact
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in. (shore accessible range),9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.,Shore,IUCN: LC (global). Regional size limits common.,Romans displayed them alive at banquets before serving.
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in. (boat marks deeper/offshore),9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.,Boat,IUCN: LC (global). Regional size limits common.,Romans displayed them alive at banquets before serving.
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m. (shore accessible range),9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Shore,IUCN: LC (global). Heavily managed in the Med; observe bag and size limits.,The ‘gilt-head’ name comes from the golden band between the eyes.
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m. (boat marks deeper/offshore),9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Boat,IUCN: LC (global). Heavily managed in the Med; observe bag and size limits.,The ‘gilt-head’ name comes from the golden band between the eyes.
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands. (shore accessible range),6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.,Shore,IUCN: LC (global). Few formal restrictions; local rules may apply.,Its bones are green—thanks to bile pigments—spooking diners for ages.
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands. (boat marks deeper/offshore),6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.,Boat,IUCN: LC (global). Few formal restrictions; local rules may apply.,Its bones are green—thanks to bile pigments—spooking diners for ages.
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore. (shore accessible range),6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Shore,Generally LC; local protections where used for aquaculture—check regional guidance.,"Norse tales said wrasse nibbled the nails of drowned sailors (grim, but memorable)."
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore. (boat marks deeper/offshore),6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Boat,Generally LC; local protections where used for aquaculture—check regional guidance.,"Norse tales said wrasse nibbled the nails of drowned sailors (grim, but memorable)."
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; when the tide slows right down spotting fish with polarised glasses works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m. (shore accessible range)",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.,Shore,IUCN: LC (many species). Urban stocks can be impacted; check local advisories.,"Painted on Egyptian tomb walls—4,000 years of mullet culture."
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; when the tide slows right down spotting fish with polarised glasses works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m. (boat marks deeper/offshore)",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.,Boat,IUCN: LC (many species). Urban stocks can be impacted; check local advisories.,"Painted on Egyptian tomb walls—4,000 years of mullet culture."
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell makes it hard to fish effectively.,"Shallow rough ground 5–20 m from beaches, piers, rocks.",9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.,Shore,IUCN: VU (global). Many areas have strong restrictions/closures—check locally.,Medieval Europe ran on dried cod (stockfish) traded by the Hanseatic League.
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell makes it hard to fish effectively.,Deeper rough ground and wrecks 20–60 m.,9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.,Boat,IUCN: VU (global). Many areas have strong restrictions/closures—check locally.,Medieval Europe ran on dried cod (stockfish) traded by the Hanseatic League.
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed. (shore accessible range),7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA).",Shore,IUCN: LC (global). Regional management applies.,Victorian cooks dubbed it the “chicken of the sea.”
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed. (boat marks deeper/offshore),7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA).",Boat,IUCN: LC (global). Regional management applies.,Victorian cooks dubbed it the “chicken of the sea.”
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m. (shore accessible range)",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Shore,IUCN: LC (global). Healthy in many northern areas; size/bag limits vary.,Sold as ‘Seelachs’ in Germany—‘sea salmon’ despite zero salmon DNA.
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m. (boat marks deeper/offshore)",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Boat,IUCN: LC (global). Healthy in many northern areas; size/bag limits vary.,Sold as ‘Seelachs’ in Germany—‘sea salmon’ despite zero salmon DNA.
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in murky water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches). (shore accessible range),7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.,Shore,IUCN: LC (global). Estuary protections in some regions.,Can live in nearly fresh water and wander far upriver.
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in murky water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches). (boat marks deeper/offshore),7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.,Boat,IUCN: LC (global). Estuary protections in some regions.,Can live in nearly fresh water and wander far upriver.
Sardine,"Atlantic, Mediterranean",𐄳 (Bait fish) Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays. (shore accessible range),8,Commercial controls common; recreational limits vary—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Spain/Portugal DGRM/MAPA; France OFB.,Shore,IUCN: LC (global). Some regional stock variability; heed local limits.,Likely gave its name to Sardinia—historic hotbed of sardine fishing.
Sardine,"Atlantic, Mediterranean",𐄳 (Bait fish) Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays. (boat marks deeper/offshore),8,Commercial controls common; recreational limits vary—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Spain/Portugal DGRM/MAPA; France OFB.,Boat,IUCN: LC (global). Some regional stock variability; heed local limits.,Likely gave its name to Sardinia—historic hotbed of sardine fishing.
Herring,"North Sea, Baltic, Atlantic",𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks. (shore accessible range),9,Closed seasons/areas common—verify before fishing. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic/North Sea national agencies.,Shore,IUCN: LC (global). Highly managed with seasonal closures in many areas.,The ‘silver darlings’ once powered whole coastal economies.
Herring,"North Sea, Baltic, Atlantic",𐄳 (Bait fish) Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks. (boat marks deeper/offshore),9,Closed seasons/areas common—verify before fishing. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic/North Sea national agencies.,Boat,IUCN: LC (global). Highly managed with seasonal closures in many areas.,The ‘silver darlings’ once powered whole coastal economies.
Sprat,"Baltic, North Sea",𐄳 (Bait fish) Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm murky water disperses.",Surface shoals 0–30 m in bays/ports. (shore accessible range),7,Often regulated with seasonal closures—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic national agencies; port by‑laws.,Shore,IUCN: LC (global). Seasonal/area closures occur—check locally.,Gave rise to the phrase ‘a sprat to catch a mackerel.’
Sprat,"Baltic, North Sea",𐄳 (Bait fish) Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm murky water disperses.",Surface shoals 0–30 m in bays/ports. (boat marks deeper/offshore),7,Often regulated with seasonal closures—check locally. Primarily a bait species; check local rules on gathering/using live/fresh bait.,Baltic national agencies; port by‑laws.,Boat,IUCN: LC (global). Seasonal/area closures occur—check locally.,Gave rise to the phrase ‘a sprat to catch a mackerel.’
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore. (shore accessible range),9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA).",Shore,IUCN: LC (global). Often taken as bycatch; local MLS may apply.,Folklore says St Peter’s thumbprint marks its side.
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore. (boat marks deeper/offshore),9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA).",Boat,IUCN: LC (global). Often taken as bycatch; local MLS may apply.,Folklore says St Peter’s thumbprint marks its side.
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over drop-offs and sandbanks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches. (shore accessible range),10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Shore,IUCN: LC (global). Strict MLS and protections; release undersized fish.,A royal favourite—Vikings even paid tribute in turbot.
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over drop-offs and sandbanks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches. (boat marks deeper/offshore),10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Boat,IUCN: LC (global). Strict MLS and protections; release undersized fish.,A royal favourite—Vikings even paid tribute in turbot.
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,"Very close to surf edges, drop‑offs, river mouths; 0–3 m.",9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies.",Shore,IUCN: LC (species). Wild runs locally vulnerable—check river/sea‑area rules.,"Irish lore calls it the ‘white trout’, an enchanted salmon."
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,Less targeted by boat; trolling near shorelines 3–10 m depth.,9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies.",Boat,IUCN: LC (species). Wild runs locally vulnerable—check river/sea‑area rules.,"Irish lore calls it the ‘white trout’, an enchanted salmon."
Pollack,"Atlantic, North Sea",Dawn/dusk; overcast days with lures,Moderate; works tide races around reefs/wrecks,"Artificial lures (soft plastics, metals), sandeel, mackerel strip",Active in mild water; slows in extreme cold/heat,Clear settled seas with some tidal run; poor in turbid storm water,"Kelp beds, reefs 5–30m close to rocks",8,MLS ~30cm+ locally; check rules,National fisheries agencies,Shore,IUCN: LC (global). Inshore stocks pressured in some regions; consider releasing big fish.,Can hang so tight to kelp that divers mistake them for shadows.
Pollack,"Atlantic, North Sea",Dawn/dusk; overcast days with lures,Moderate; works tide races around wrecks and reefs,"Artificial lures, fish strips; predatory",Active in mild water; slows in extreme cold/heat,Clear settled seas; turbid storm water reduces success,Wrecks and offshore reefs 20–100m,8,MLS ~30cm+ locally; check rules,National fisheries agencies,Boat,IUCN: LC (global). Inshore stocks pressured in some regions; consider releasing big fish.,Can hang so tight to kelp that divers mistake them for shadows.
Plaice,"Atlantic, North Sea",Daylight,Better on flooding tide,"Worms, clams, mussels; bottom grazer",Mild/cool best; sluggish in cold winter,Clear calm seas favour sight feeding,"Beaches and estuaries, 2–10m",8,MLS 27cm in UK/Europe; seasonal closures,National fisheries agencies,Shore,IUCN: LC (global). Regionally managed; observe size/season rules.,Those orange spots? Likely a fashion statement: they help camouflage on speckled sand.
Plaice,"Atlantic, North Sea",Daylight,Better on flooding tide,"Worms, clams, mussels; bottom grazer",Mild/cool best; sluggish in cold winter,Clear calm seas favour sight feeding,Drifting over offshore banks 10–40m,8,MLS 27cm in UK/Europe; seasonal closures,National fisheries agencies,Boat,IUCN: LC (global). Regionally managed; observe size/season rules.,Those orange spots? Likely a fashion statement: they help camouflage on speckled sand.
Dab,"Atlantic, North Sea",Daylight,Moderate tidal influence,"Small worms, shrimps; bottom feeder","Tolerant to cold, feeds year-round",Less impacted by rough seas than other flatfish,"Beaches, piers, sandy ground 2–20m",6,"No major restrictions; often small, returned",National fisheries agencies,Shore,IUCN: LC (global). Widespread; often small—return undersized.,Often the most abundant flatfish—Victorians sold ‘dab pie’ by the slice.
Dab,"Atlantic, North Sea",Daylight,Moderate tidal influence,"Small worms, shrimps; bottom feeder","Tolerant to cold, feeds year-round",Less impacted by rough seas than other flatfish,Soft muddy seabeds 20–40m,6,"No major restrictions; often small, returned",National fisheries agencies,Boat,IUCN: LC (global). Widespread; often small—return undersized.,Often the most abundant flatfish—Victorians sold ‘dab pie’ by the slice.
Dover Sole,"Atlantic, North Sea",Night/dusk,Strong on flooding tide,"Worms, ragworm, small crab; bottom-feeder",Prefers warmer summer/autumn; winter slow,Settled calm seas best,"Sandy beaches, shallow mud 2–15m",9,MLS 24cm+; quotas apply,National fisheries agencies,Shore,IUCN: LC (global). Managed with size/season/gear rules.,Famous for delicate flavour; the ‘Dover’ tag comes from the port that shipped them to London fresh.
Dover Sole,"Atlantic, North Sea",Night/dusk,Strong on flooding tide,"Worms, ragworm, small crab; bottom-feeder",Prefers warmer summer/autumn; winter slow,Settled calm seas best,Drifting soft grounds 20–40m,9,MLS 24cm+; quotas apply,National fisheries agencies,Boat,IUCN: LC (global). Managed with size/season/gear rules.,Famous for delicate flavour; the ‘Dover’ tag comes from the port that shipped them to London fresh.
Thornback Ray,"Atlantic, North Sea",Dusk/night with moving tide,Strong tidal run improves feeding,"Whole squid, mackerel, sandeel; small fish/crustaceans",Prefers mild–warm water; sluggish in cold,Feeds well after mild storms stirring prey,Sandy bays 5–20m,8,Size/bag restrictions in some countries,National fisheries agencies,Shore,IUCN: NT or LC region‑dependent. Slow‑growing—support release schemes.,Males ‘drum’ with their spiracles—underwater love songs.
Thornback Ray,"Atlantic, North Sea",Dusk/night with moving tide,Strong tidal run improves feeding,"Whole squid, mackerel, sandeel; small fish/crustaceans",Prefers mild–warm water; sluggish in cold,Feeds well after mild storms stirring prey,Deeper sands/channels 20–60m,8,Size/bag restrictions in some countries,National fisheries agencies,Boat,IUCN: NT or LC region‑dependent. Slow‑growing—support release schemes.,Males ‘drum’ with their spiracles—underwater love songs.
Small-spotted Catshark,"Atlantic, North Sea",Night,Not tide sensitive,Smelly fish/squid baits; scavenger,Active in wide temp range,Feeds happily in coloured post-storm water,"Surf beaches, estuaries 5–20m",6,Generally no restrictions; often released,National fisheries agencies,Shore,IUCN: LC (global). Common locally; many anglers release.,Can rest in piles like sleepy puppies under ledges.
