Species,Regions,Best Time,Tide Sensitivity,Favourite Baits & Natural Diet,Effect of Temperature,Effect of Weather,Typical Distance/Depth,Edibility (/10),Restrictions/Notes,Trusted Authority (rules),Context
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in. (shore accessible range),9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.,Shore
Red Mullet,"Mediterranean, Bay of Biscay","Daytime; dawn on calm, clear days.",Moderate; flooding tide over clean sand best.,"Small worms, shrimps; uses barbels to root crustaceans.",Warm‑water preference; summer–autumn peak.,"Settled, clear water ideal; heavy swell suppresses feeding.",Sandy/muddy bays 5–50 m; often close in. (boat marks deeper/offshore),9,Minimum sizes common; verify locally.,Spain MAPA/CCAA; France OFB; Portugal DGRM.,Boat
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m. (shore accessible range),9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Shore
Sea Bream (Dorada),"Mediterranean, Southern Atlantic",Dawn/dusk; warm months. Night over beaches/estuaries.,Strong; mid‑flood around bars/holes excellent.,"Crab, prawn, mussel; cracks shellfish with strong molars.",Prefers ≥15 °C; sluggish in cold snaps.,Light onshore chop good; heavy surf reduces bites.,Beaches/estuaries/rocky reefs; 2–30 m. (boat marks deeper/offshore),9,Common MLS & bag limits; check local regs.,Spain MAPA/CCAA; Portugal DGRM; Italy MIPAAF.,Boat
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands. (shore accessible range),6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.,Shore
Garfish (Needlefish),"Atlantic, North Sea, Baltic",Daylight & dusk in spring runs; also at night under lights.,Low–moderate; moving surface water helpful.,Small surface lures/float baits; eats sprats/sandeels.,Arrives with warming water in spring–summer.,Calm/clear or slight chop best; big swell poor for floats.,Surface layers 0–5 m; close to piers/headlands. (boat marks deeper/offshore),6,Few restrictions; sharp beak—handle with care.,National fisheries agency/harbour by‑laws.,Boat
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore. (shore accessible range),6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Shore
Wrasse (various),"Atlantic, North Sea, Mediterranean","Daylight, especially flood tide over kelp/rocks.",Moderate; feeds as crabs/prawns move with tide.,"Crab, prawn, shellfish; picks in kelp/rock crevices.",Best in mild–warm water; lethargic in winter.,Clear water preferable; heavy swell pushes them tight to cover.,Rocky kelp ground 2–20 m; very close to shore. (boat marks deeper/offshore),6,Conservation measures in some regions (wrasse for aquaculture); many anglers practise C&R.,"Regional conservation/fisheries bodies (e.g., UK IFCAs; Norway Fiskeridirektoratet).",Boat
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; slack water sight‑polaroiding works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m. (shore accessible range)",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.,Shore
Grey Mullet,"Atlantic, Mediterranean",Evening/dawn; sight‑feeding in daylight on calm days.,Strong in estuaries on flood; slack water sight‑polaroiding works.,"Bread, tiny worms, harbour detritus; filter‑grazer.",Best in mild–warm months; cold snaps shut them down.,After rain/run‑off they graze hard in estuaries; strong winds spook shoals.,"Harbours, marinas, surf edges; 0–10 m. (boat marks deeper/offshore)",7,Local restrictions possible; avoid polluted harbours for consumption.,Municipal/port by‑laws; national fisheries sites.,Boat
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell hampers presentation.,"Shallow rough ground 5–20 m from beaches, piers, rocks.",9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.,Shore
Cod (Coastal),"North Sea, Baltic, Norwegian waters",Low light and night; autumn–winter inshore peaks.,Strong; running tide over rough ground best.,"Lug/ragworm, squid, crab, fish baits; eats crabs, fish, shellfish.",Cold‑water species; moves deeper when warm.,Settling after storms good; extreme swell hampers presentation.,Deeper rough ground and wrecks 20–60 m.,9,"Closed areas/seasons and MLS common, especially Baltic—check locally.",Norway Fiskeridirektoratet; Denmark/Sweden agencies; UK IFCA/MMO.,Boat
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed. (shore accessible range),7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA).",Shore
Whiting,"North Sea, Atlantic",Night & low‑light; peaks in colder months inshore.,Moderate–strong; likes run over sand/mixed ground.,"Small strips of mackerel/squid, worms; eats shrimp/small fish.",Cool‑water oriented; less activity in heat.,Best in settled or light chop; heavy surf scatters shoals.,Inshore 5–50 m over sand/mixed. (boat marks deeper/offshore),7,MLS and bag rules vary—verify locally.,"National fisheries websites (e.g., UK IFCA/MMO; Ireland SFPA).",Boat
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m. (shore accessible range)",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Shore
Saithe/Pollock,"North Sea, Norwegian waters",Dawn/dusk; overcast days with lures.,Moderate; hunts on current edges around structure.,"Metals, soft plastics, sandeel/mackerel strip; eats small fish.",Active in cool–mild water; heat or deep winter slows.,Clear water with some movement ideal; big swell pushes them deeper.,"Kelp fringes, reefs, wrecks 5–80 m. (boat marks deeper/offshore)",8,Local size/bag rules; some areas encourage releasing larger breeders.,Norway Fiskeridirektoratet; UK/NL/DE national agencies.,Boat
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in coloured water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches). (shore accessible range),7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.,Shore
Flounder,"North Sea, Baltic, Atlantic",Dusk/night and daylight in coloured water; autumn–winter strong.,Strong in estuaries/beaches; mid‑flood best.,"Worms, shrimp, small crab; opportunistic scavenger.",Tolerant; feeds in cold but slower in extremes.,Coloured water and gentle surf good; heavy weed/swell poor.,Very close in on sand/mud; 0–20 m (estuaries to open beaches). (boat marks deeper/offshore),7,Local MLS/seasonal protections in some estuaries—verify.,Baltic/North Sea national agencies; UK IFCA/MMO.,Boat
Sardine,"Atlantic, Mediterranean",Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays. (shore accessible range),8,Commercial controls common; recreational limits vary—check locally.,Spain/Portugal DGRM/MAPA; France OFB.,Shore
Sardine,"Atlantic, Mediterranean",Night under lights; dawn when bait shoals push in.,Low; moving water helps schooling behaviour.,Tiny sabiki; plankton feeder.,Warmer‑water coastal; moves offshore in cold.,Settled weather aggregates shoals; storms disperse.,Surface–midwater 0–40 m near ports/bays. (boat marks deeper/offshore),8,Commercial controls common; recreational limits vary—check locally.,Spain/Portugal DGRM/MAPA; France OFB.,Boat
Herring,"North Sea, Baltic, Atlantic",Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks. (shore accessible range),9,Closed seasons/areas common—verify before fishing.,Baltic/North Sea national agencies.,Shore
Herring,"North Sea, Baltic, Atlantic",Dusk/night; winter–spring runs in many areas.,Low–moderate; currents concentrate schools.,Sabiki/small spoons; plankton/small fish.,Cool‑water; seasonal coastal runs.,Calm or slight chop best; heavy swell pushes deeper.,Mid‑water shoals 5–80 m; piers to offshore banks. (boat marks deeper/offshore),9,Closed seasons/areas common—verify before fishing.,Baltic/North Sea national agencies.,Boat
Sprat,"Baltic, North Sea",Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm turbidity disperses.",Surface shoals 0–30 m in bays/ports. (shore accessible range),7,Often regulated with seasonal closures—check locally.,Baltic national agencies; port by‑laws.,Shore
Sprat,"Baltic, North Sea",Night under lights; winter harbours.,Low; congregates where plankton concentrates.,Very fine sabiki; plankton feeder.,Prefers cool waters; winter inshore.,"Calm, clear nights best; storm turbidity disperses.",Surface shoals 0–30 m in bays/ports. (boat marks deeper/offshore),7,Often regulated with seasonal closures—check locally.,Baltic national agencies; port by‑laws.,Boat
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore. (shore accessible range),9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA).",Shore
John Dory,"Atlantic, Mediterranean",Daytime; dawn on reefs/wrecks.,Low–moderate; ambushes around current seams.,Livebaits/squid; predator on small fish.,Best in mild–warm settled periods.,Prefers calm/clear; big swell drives deeper/off the mark.,Reefs/wrecks 20–150 m; occasional inshore. (boat marks deeper/offshore),9,Commercial species; recreational MLS/bag may apply.,"National marine fisheries (e.g., France OFB; Spain MAPA).",Boat
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over contours/banks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches. (shore accessible range),10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Shore
Turbot (Small),"North Sea, Atlantic",Dawn/dusk drifts over sandbanks.,Moderate; moving water over contours/banks best.,"Whole sandeel, fish strips; ambush predator.",Active spring–autumn; slows in very cold water.,Slight chop good; heavy surf buries baits.,Sandbanks 10–70 m; often just off beaches. (boat marks deeper/offshore),10,Strict MLS & protections—release undersized (‘small’) fish.,North Sea national agencies; UK IFCA/MMO; NL/DE authorities.,Boat
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,"Very close to surf edges, drop‑offs, river mouths; 0–3 m.",9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies.",Shore
Sea Trout,"Atlantic, North Sea, Baltic","Dawn/dusk; at night in clear, calm conditions; spring/autumn coastal runs.",Moderate; moving water around points/bars best.,"Spinners, spoons, flies (sandeel, shrimp patterns); eats sandeels/shrimps.",Cool–mild water best (5–14 °C); hot bright days are tough.,Overcast with light onshore breeze ideal; after storm a settling day fishes well.,Less targeted by boat; trolling near shorelines 3–10 m depth.,9,"Highly regulated: seasons, bag limits, river/coastal distinctions—check carefully.","Baltic/Nordic agencies (e.g., Denmark, Sweden), UK/IE fisheries bodies.",Boat
