cultivar_id,fruit_group,species_slug,cultivar_name,species_scientific,type_label,description_text,synonyms,availability_text,held_in_nfc,images,source_url,source_licence,nfc_id,acc4,flower_10pct_mmdd,flower_full_mmdd,petal_fall_90pct_mmdd,picking_window_text,bloom_week,bloom_band,harvest_band,self_fertile,triploid,pollination_notes,disease_scab,disease_mildew,disease_fire_blight,wet_climate_suitability,drought_suitability,enrichment_sources,trait_size,trait_shape,trait_ribbing,trait_crown,trait_ground_colour,trait_over_colour_amount,trait_over_colour,trait_over_colour_pattern,trait_russet,trait_crunch,trait_flesh_colour,trait_height,trait_width,trait_firmness,trait_skin_colour,trait_juice_colour,trait_weight,trait_stone,trait_flavour,trait_veining,trait_hairiness,trait_bristles
apple-elstar,apple,fruit-apple,Elstar,Malus domestica Borkh.,Dessert,"Raised in 1955 by Dr T. Visser at IVT,Wageningen, The Netherlands. Fruits are sweet, crisp and juicy.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1850&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1850.0,,05-17,05-24,,Early October,21.0,,,,,,,,,,,,medium,Globose conical,weak-medium,very weak,Yellow,medium,Red,striped/mottled,low,crisp,Cream,56.25 mm,66.88 mm,,,,,,,,,
apple-mcintosh,apple,fruit-apple,McIntosh,Malus domestica Borkh.,Dessert,"Discovered in 1796 by John McIntosh near Dundela, Dundas County, Ontario, Canada. Propagated by Allan McIntosh. It was introduced and named in about 1870. Fruits have white, rather soft, fine-textured, very juicy flesh with a sweet, pleasant vinous flavou",M'Intosh|Mac Intosh|Mac Intosh Red|Mac-Intosh|Mac-Intosh Red|MacIntosh|MacIntosh Red|Mackintosh|Mackintosh Red|Makintos|Mc Intosh|Mc-Intosh Red|Mc. I. Red|Mc.Intosh Red|McIntosh Red|Mek-Intosh|Mekintos,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Material held in the Marcher Apple Network collections (Tredomen),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=3874&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),3874.0,,05-07,05-14,,Mid September,20.0,,,,,,,,,,,,large,Flat globose,weak-medium,weak-medium,Whitish yellow,medium,Red,striped/solid flush,low,crisp,White,59.83 mm,71.95 mm,soft,,,,,,,,
apple-cortland,apple,fruit-apple,Cortland,Malus domestica Borkh.,Dessert,"Raised in 1898 by S.A. Beach at New York State Agricultural Experiment Station, Geneva, USA. Fruits have moderately juicy, slightly coarse-textured flesh with a sweet, refreshing flavour. Skin is tough.",Cartland|Courtland|Courtlandt,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1291&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1291.0,,05-09,05-16,,Early October,20.0,,,,,,,,,,,,large,Broad globose conical,weak-medium,,Green yellow,high,Red,striped,very low,,,59.00 mm,75.00 mm,,,,,,,,,
apple-empire,apple,fruit-apple,Empire,Malus domestica Borkh.,Dessert,"Raised in 1945 at New York State Agricultural Experiment Station, Geneva, New York. It was named and introduced in 1966. Fruits have crisp flesh with a subacid and aromatic flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1868&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1868.0,,05-09,05-16,,Mid October,20.0,,,,,,,,,,,,medium-large,Flat globose,very weak,,,very high,Red,striped,,crisp,Cream,,,,,,,,,,,
apple-jonathan,apple,fruit-apple,Jonathan,Malus domestica Borkh.,Dessert,"Originated on the farm of Philip Rick, Woodstock, Ulster County, New York, USA. It was first described in 1826 by Judge Buel who named the apple after Jonathan Hasbrouck. Fruits have soft, fine-textured, fairly juicy flesh with a sweet and fairly pleasant flavour.",Djonathan|Dzhonatan|Dzonetn|Esopus Spitzenberg (New)|Johnathan|King Philip|King Philipp|Philip Rick|Philipp Rick|Pomme Jonathan|Ulster|Ulster Seedling,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=3077&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),3077.0,,05-12,05-15,,Early October,20.0,,,,,,,,,,,,medium,Globose conical,weak,medium,Yellow,,Red,solid flush,low,,White,,,firm,,,,,,,,
apple-rome-beauty,apple,fruit-apple,Rome Beauty,Malus domestica Borkh.,Culinary / Dessert,"Originated with H.N. Gillett in Lawrence County, Ohio, USA. Brought to notice in 1848. Fruits have creamy white, rather coarse-textured, juicy flesh with very little flavour. Fruits do not mature well in the UK.",?Imperatore|?Morella|Beaute de Rome|Belle de Rome|Faust's Rome Beauty|Frumusetea Romei|Gillet's Seedling|Gillett's Seedling|Morgenduit|Mussolinieapfel|Pomme de Romagne|Rimskaia Krasavita|Rimskaya Krasavitsa|Rimske Krasne|Roma szepe|Roman Beauty|Rome|Rome's Beauty,Material available from the National Fruit Collection. Father to: Monroe Sports: Barkley Red Rome Double Red Rome Beauty Glengyle Red Red Rome Ruby Rome Beauty,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=5428&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),5428.0,,05-19,05-25,,Mid October,21.0,,,,,,,,,,,,medium-large,Oblong,weak,,Whitish yellow,,Orange,striped,,,Greenish,61.50 mm,77.50 mm,soft,,,,,,,,
apple-winesap,apple,fruit-apple,Winesap,Malus domestica Borkh.,Culinary / Dessert,"Originated in the U.S.A. First described in 1817. Fruits have firm, tender, coarse, yellowish white flesh with a sweet, subacid flavour.",American Wine Sop|American Wine-Sop|American Winesop|Banana|Henrick's Sweet|Holland's Red Winter|Pot Pie Apple|Potpie Apple|Red Sweet Wine Sop|Royal Red|Royal Red of Kentucky|Texan Red|Wine Sap|Wine Sop|Winesop|Winter Winesap,Material available from the National Fruit Collection. Mother to: Arkansas Mareda McLiver's Winesap Shenandoah Sports: Dermen Winesap Accession No. 1951 - 103 fingerprint check_circle Accession name Winesap,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6820&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6820.0,,05-10,05-18,,Late October,20.0,,,,,,,,,,,,medium,Globose conical,very weak,medium,Green yellow,,Red,striped,very low,,Yellowish,,,firm,,,,,,,,
apple-northern-spy,apple,fruit-apple,Northern Spy,Malus domestica Borkh.,Dessert,"First grown in the seedling orchard of Heman Chapin, at East Bloomfield, New York, USA from seed brought from Salisbury, Connecticut, USA. It was raised in about 1800 and introduced in 1840. Fruits have fairly firm, juicy, sweet flesh with a pleasant flavour. This variety is resistant to woolly aphis and has been used as a parent in the breeding of resistant rootstocks and varieties.",King Apple|King's Apple|Severnui Razvedchik|Severnui Shpion|Spaeher des Nordens|Spaher des Nordens|Spy,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Material held in the Marcher Apple Network collections (Paramor) Mother to: Sandow Sunrise Emilia Thurso Ascot Galton Glenton Spiza Father to: Pewaukee Ontario Sports: Crimson Spy Double Red Northern Spy Hunter Kinkead Spy Kinkead Red Spy Loop Spy,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4286&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4286.0,,05-17,05-24,,Mid October,21.0,,,,,,,,,,,,large,Broad globose conical,weak-medium,,Green yellow,,Pink,,very low,,Yellowish,70.00 mm,81.00 mm,firm,,,,,,,,
apple-mutsu,apple,fruit-apple,Mutsu,Malus domestica Borkh.,Culinary / Dessert,"Triploid. Raised in Japan in 1930 and first fruited in 1939. It was named 'Mutsu' in 1948 but renamed 'Crispin' in the UK for commercial reasons in 1968. Fruits have firm, fine-textured, juicy flesh which is a little sweet, somewhat acid with a refreshing, and pleasant flavour.",Crispin,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4148&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4148.0,,05-10,05-17,,Mid October,20.0,,,,True,,,,,,,,large,Truncate conical,medium,,Green,,Brown,,,crisp,White,70.00 mm,70.00 mm,firm,,,,,,,,
apple-cameo,apple,fruit-apple,Cameo,Malus domestica Borkh.,Dessert,"A crisp, sweet apple with a mild flavour and attractive red striping. Good for eating fresh and keeps well.",Cameo,Commonly sold for home orchards/gardens in Europe (nursery stock).,False,,https://en.wikipedia.org/wiki/Cameo_(apple),CC BY-SA 4.0 (Wikipedia); summary written for this dataset.,,,,,,October,,,,,,,,,,,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,
apple-ambrosia,apple,fruit-apple,Ambrosia,Malus domestica Borkh.,Dessert,"A sweet, low-acid dessert apple with crisp, juicy flesh. Generally best as a fresh-eating apple.",Ambrosia,Commonly sold for home orchards/gardens in Europe (nursery stock).,False,,https://en.wikipedia.org/wiki/Ambrosia_(apple),CC BY-SA 4.0 (Wikipedia); summary written for this dataset.,,,,,,September–October,,,,,,,,,,,,Wikipedia,,,,,,,,,,,,,,,,,,,,,,
apple-opal-seabrook,apple,fruit-apple,Opal (Seabrook),Malus domestica Borkh.,Dessert,"Raised by W.P. Seabrook, Chelmsford, Essex. Received by the National Fruit Trials in 1936. Fruits have firm, crisp flesh with a sweet subacid flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4392&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4392.0,,05-09,05-18,,Early September,20.0,,,,,,,,,,,,medium,Globose conical,weak,weak,Whitish yellow,medium-high,Red,striped/solid flush,low,crisp,Cream,58.53 mm,68.33 mm,firm,,,,,,,,
apple-pinova,apple,fruit-apple,Pinova,Malus domestica Borkh.,,"Raised at the Institute of Fruit Research, Dresden-Pillnitz, Germany. Introduced in 1986. Fruits are crisp and juicy.",,Material in the National Fruit Collection not currently available. Accession No. 1994 - 015 fingerprint cancel Accession name Pinova,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=4673&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),4673.0,,04-29,05-10,,early october,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple-topaz,apple,fruit-apple,Topaz,Malus domestica Borkh.,Dessert,"Availability Material available from the National Fruit Collection. Material held in the East of England Apples & Orchards Project Accession No. 1948 - 737 fingerprint check_circle Received by the National Fruit Trials in 1948 from East Malling Research Station, Kent. Fruits have soft, coarse, greenish cream flesh with a subacid flavour. Accession name Topaz Flowering time 11th May 10% flowering 16th May Full (80%) flowering 24th May 90% petal fall Picking time Early October 1 Size medium-large 1 Type Dessert 1 Shape Oblong 1 Ribbing weak-medium 1 Crown medium 1 Ground Colour W",,"Material available from the National Fruit Collection. Material held in the East of England Apples & Orchards Project Accession No. 1948 - 737 fingerprint check_circle Received by the National Fruit Trials in 1948 from East Malling Research Station, Kent. Fruits have soft, coarse, greenish cream flesh with a subacid flavour. Accession name Topaz",True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6374&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6374.0,,05-16,05-24,,Early October,21.0,,,,,,,,,,,,medium-large,Oblong,weak-medium,medium,Whitish yellow,,Orange,,very low,crisp,Yellowish,,,,,,,,,,,
apple-santana,apple,fruit-apple,Santana,Malus domestica Borkh.,,"Raised at the Centre for Plant Breeding Research, Wageningen, the Netherlands.",,Material in the National Fruit Collection not currently available. Accession No. 2000 - 110 fingerprint cancel Accession name Santana,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=5631&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),5631.0,,05-09,05-15,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple-ingrid-marie,apple,fruit-apple,Ingrid Marie,Malus domestica Borkh.,Dessert,"Raised on the island of Fyn, Denmark in about 1910. Fruits have firm, crisp, fine-textured, juicy flesh with a fair flavour. Cracks around the eye in some seasons.",Hoed Orange|Ingrid Maries Aeble,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=2925&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),2925.0,,05-14,05-22,,Late September,21.0,,,,,,,,,,,,large,Flat globose,weak-medium,very weak,Green yellow,medium-high,Red,striped/mottled/solid flush,low,,Cream,,,firm,,,,,,,,
apple-rubens,apple,fruit-apple,Rubens,Malus domestica Borkh.,Dessert,"Raised at the Horticultural Laboratory, Wageningen, Netherlands. Recorded in 1954 and introduced in 1955. Fruits have firm, fine flesh with a sweet flavour.",,Material available from the National Fruit Collection.,True,,https://www.nationalfruitcollection.org.uk/full2.php?id=5533&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),5533.0,,05-11,05-19,,Early October,20.0,,,,,,,,,,,,medium,Oblong,,,Yellow,high-very high,Red,,very low,,Cream,54.00 mm,57.00 mm,firm,,,,,,,,
apple-coxs-orange-pippin,apple,fruit-apple,Cox's Orange Pippin,Malus domestica Borkh.,Dessert,"Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.",Apelsinnyi renet|Aranciata di Cox|Cos Orange|Cox|Cox Narancs Renet|Cox Orange|Cox Orange Pippin|Cox Orangen Pippin|Cox Orangen Reinette|Cox Orangen Renette|Cox' Orangen|Cox' Orangen-renette|Cox's Orange|Cox's Orange Pepping|Cox's Orange Reinette|Cox's Orange-Peppin|Cox's Orange-Pippeling|Cox's Orangen Pippin|Cox's Orangen Reinette|Cox's Orangen-Reinette|Cox's Pomeranzen Pepping|Cox's Pomeranzen-pepping|Coxova Reneta|Kemp's Orange|Kempe's Orange|Koksa Pomaranczowa|Koksova oranjeva reneta|Orange de Cox|Oranjevii renet|Peppeling Cox Orange|Pomaranczowe Coxa|Reinette Cox's Orangen|Reinette Orange|Reinette Orange de Cox|Renet Coksa|Renet Cox Portocaliu|Renet Coxa|Renet Portocaliu|Reneta Coxa pomaranzowa|Russet Pippin|Verbesserte Muscat Reinette|Verbesserte Muscat-Reinette,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Material held in the Marcher Apple Network collections (Tredomen),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1330&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1330.0,,05-13,05-20,,Late September,20.0,,,,,,,,,,,,medium,Globose conical,absent,weak,Green yellow,low,Brown,striped,,crisp,Yellowish,56.00 mm,62.00 mm,,,,,,,,,
apple-egremont-russet,apple,fruit-apple,Egremont Russet,Malus domestica Borkh.,Dessert,"Thought to have originated in England. It was first recorded in 1872. Fruits have firm, fine-textured, rather dry flesh with a rich, nutty flavour. It is probably the most important commercial russet in the UK at the present time.",Egremont,Material available from the National Fruit Collection. Accession No. 1979 - 159 fingerprint check_circle Accession name Egremont Russet (EMLA 1),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1817&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1817.0,,05-07,05-14,,Late September,20.0,,,,,,,,,,,,medium,Broad globose conical,absent,,Yellow,,Brown,solid flush,high-very high,,Cream,,,firm,,,,,,,,
apple-worcester-pearmain,apple,fruit-apple,Worcester Pearmain,Malus domestica Borkh.,Dessert,"Raised by Mr Hale of Swan Pool, near Worcester, England. Introduced by Smith of Worcester in 1874. Received a First Class Certificate from the Royal Horticultural Society in 1875. Fruits have firm, white, a little juicy flesh with a sweet and pleasant flavour.",Pearmain de Worcester|Worcester|Worcester Parmaene|Worcester Parman|Worcester Parmane|Worcester-Parman|Worchester Parmane,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making) Material held in the Marcher Apple Network collections (Paramor),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=6920&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),6920.0,,05-03,05-11,,Early September,19.0,,,,,,,,,,,,medium,Globose conical,weak-medium,weak,Whitish green,high,Red,solid flush,low,crisp,Cream,,,firm,,,,,,,,
apple-discovery,apple,fruit-apple,Discovery,Malus domestica Borkh.,Dessert,"Raised in about 1949 by Mr Drummer, a workman on an Essex fruit farm. It was first named 'Thurston August' but renamed Discovery in 1962 and introduced by nurseryman J. Matthews, Thurston, Suffolk. Fruits have firm, fine-textured, juicy flesh with a fairly sweet and pleasant flavour.",Thurston August,Material available from the National Fruit Collection. Material held in the East of England Apples & Orchards Project Material held in the Marcher Apple Network collections (Tredomen),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=1584&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),1584.0,,05-12,05-19,,Mid August,20.0,,,,,,,,,,,,medium,Flat,weak-medium,absent,Whitish yellow,,Orange,striped/solid flush,low,,,45.38 mm,63.00 mm,,,,,,,,,
apple-katja,apple,fruit-apple,Katja,Malus domestica Borkh.,Dessert,"Raised in 1947 at Balsgard Fruit Breeding Institute, Sweden. It was introduced in 1966. Fruits are crisp and juicy with a pleasant flavour.",Katy,Material available from the National Fruit Collection. Material held in Tidnor Wood National Collection® of Malus (Cider making),True,,https://www.nationalfruitcollection.org.uk/full2.php?id=3152&&fruit=apple,Open Government Licence (Crown Copyright; excluding logos),3152.0,,05-12,05-21,,Early September,21.0,,,,,,,,,,,,medium,Globose conical,weak-medium,weak,Whitish yellow,medium-high,Red,striped/solid flush,low,,Cream,,,firm,,,,,,,,
