Species Code,Scientific Name,English Name,Completeness %,Temp Min (°C),Temp Max (°C),Temp Optimal Min,Temp Optimal Max,Temp Mean,Temp Source,Salinity Min (ppt),Salinity Max (ppt),Salinity Source,Depth Min (m),Depth Max (m),Depth Source,Substrate Types,Substrate Source,Bio Band UK,Bio Band Med,Bio Band Nordic,Regional Gates,Temperature Notes
GGR,Eutrigla gurnardus,Grey Gurnard,100,5,15,8,12,10,ICES/Marine Biology,5,38,fishbase+obis,10,340,fishbase,"rock, sand, mixed",environmental_preferences,,,,,Cold-temperate species. North Sea 8-12°C. Common demersal.
mug,Chelon labrosus,Grey Mullet,100,12,22,15,19,17,Mediterranean/Marine Biology,5,38,fishbase+obis,5,23,obis,mixed,environmental_preferences,,,,,Warm temperate species 15-19°C. Common Mediterranean.
had,Melanogrammus aeglefinus,Haddock,100,2,10,4,7,5.5,ICES/Marine Biology,30,38,fishbase+obis,10,450,fishbase,rock,environmental_preferences,,,,,Cold-water species. Common in North Sea 4-7°C. Rarely found >10°C.
hom,Trachurus trachurus,Horse Mackerel,100,8,18,11,15,13,ICES/Marine Biology,30,38,fishbase+obis,0,50,species_table,rock,environmental_preferences,,,,,Temperate pelagic species. Common 11-15°C. Wide distribution.
par,Sparisoma cretense,Parrotfish,100,16,26,19,23,21,Mediterranean,30,38,fishbase+obis,20,50,fishbase,"rock, weed",environmental_preferences,,,,,Mediterranean parrotfish. Warm waters 19-23°C.
ple,Pleuronectes platessa,Plaice,100,2,15,,,,fishbase_web_scrape,5,38,fishbase+obis,0,50,species_table,mixed,environmental_preferences,,,,,
pol,Pollachius pollachius,Pollack,100,6,16,10,13,11.5,Marine Biology,30,38,fishbase+obis,40,200,fishbase,rock,environmental_preferences,,,,,Temperate species. Prefers 10-13°C. Found in warmer waters than saithe.
mul,Mullus surmuletus,Red Mullet,100,12,22,15,19,17,Mediterranean/Marine Biology,30,38,fishbase+obis,5,409,fishbase,rock,environmental_preferences,,,,,Warm temperate species 15-19°C. Common Mediterranean.
sbr,Pagellus bogaraveo,Red Seabream,100,10,18,12,15,13.5,Marine Biology,30,38,fishbase+obis,150,700,fishbase,"rock, weed",environmental_preferences,,,,,Deep water seabream 12-15°C. Atlantic species.
pok,Pollachius virens,Saithe (Pollachius virens),100,3,14,6,14,10,ICES/Angler Data/Marine Biology,30,38,fishbase+obis,37,364,fishbase,mixed,environmental_preferences,,,,,Cold water species. Follows thermoclines 6-14°C. Colder than pollack but more temperature-tolerant than previously thought. Deep-water comfort zone shifts with temperature stratification.
san,Ammodytes tobianus,Sand Eel,100,5,16,8,16,12,ICES/Marine Biology/Angler Data,5,38,fishbase+obis,1,96,fishbase,mixed,environmental_preferences,,,,,Cold-temperate species. North Sea 8-16°C. Important forage fish. Buries in sand when water becomes too cold (<8°C) or too hot (>16°C); most active in mid-range temperatures.
bss,Dicentrarchus labrax,Sea Bass,100,8,24,,,,fishbase_web_scrape,5,38,fishbase+obis,10,100,fishbase,"rock, sand",environmental_preferences,,,,,
sba,Sparus aurata,Sea Bream (Dorada),100,15,26,18,24,21,Angler Data/Mediterranean,5,38,fishbase+obis,1,150,fishbase,"sand, weed",environmental_preferences,,,,,Won't feed well below ~15°C; very responsive to seasonal warming. Excellent correlation between temp and bite rate.
trs,Salmo trutta,Sea Trout,100,18,24,,,,fishbase_web_scrape,5,38,fishbase+obis,0,50,species_table,rock,environmental_preferences,,,,,
scy,Scyliorhinus canicula,Small-spotted Catshark,100,8,16,10,13,11.5,Marine Biology,30,38,fishbase+obis,10,780,fishbase,mixed,environmental_preferences,,,,,Common catshark. UK/European waters 10-13°C.
RJM,Raja montagui,Spotted Ray,100,7,15,9,12,10.5,Marine Biology,30,38,fishbase+obis,8,530,fishbase,"mixed, sand",environmental_preferences,,,,,Temperate ray. Common in waters 9-12°C.
SSH,Mustelus asterias,Starry Smoothhound,100,9,20,12,20,16,Marine Biology/Angler Data,30,38,fishbase+obis,3,60,species_table,"mixed, sand",environmental_preferences,,,,,Temperate shark. 'Summer sharks' - appear as water warms (12-20°C). Feeding activity peaks in warmest months. Similar behavior to Common Smoothhound.
rjc,Raja clavata,Thornback Ray,100,6,18,10,18,14,ICES/Marine Biology/Angler Data,30,38,fishbase+obis,5,1020,fishbase,mixed,environmental_preferences,,,,,Common European ray. Wide tolerance 10-18°C optimal. Sluggish and less active in cold water; feeding rate increases with warming.
gug,Chelidonichthys lucerna,Tub Gurnard,100,8,24,,,,fishbase_web_scrape,30,38,fishbase+obis,20,318,fishbase,mixed,environmental_preferences,,,,,
tur,Scophthalmus maximus,Turbot (Small),100,6,18,10,14,12,ICES/Aquaculture,5,38,fishbase+obis,20,70,fishbase,rock,environmental_preferences,,,,,Temperate flatfish. Prefers 10-14°C. Aquaculture species.
RUN,Raja undulata,Undulate Ray,100,10,20,12,20,16,Marine Biology/Angler Data,30,38,fishbase+obis,50,200,fishbase,"mixed, sand",environmental_preferences,,,,,Warm temperate ray. Southern European waters 12-20°C. Feeding rate drops in cold water; prefers warmer conditions than Thornback Ray.
whg,Merlangius merlangus,Whiting,100,4,15,7,11,9,ICES/Marine Biology,5,38,fishbase+obis,10,200,fishbase,rock,environmental_preferences,,,,,Temperate species common in North Sea 7-11°C. Tolerates wide range.
brs,Spondyliosoma cantharus,Black Seabream,75,10,26,15,26,20.5,Marine Biology/Angler Data,30,38,fishbase+obis,5,300,fishbase,,environmental_preferences,,,,,Warm temperate species. Common in southern UK waters. Won't feed well below ~15°C; activity and feeding rate increase significantly in warmer water 15-26°C.
gar,Belone belone,Garfish (Needlefish),75,10,20,13,17,15,Marine Biology,5,38,fishbase+obis,0,50,species_table,,environmental_preferences,,,,,Temperate pelagic species. Seasonal migrant 13-17°C.
her,Clupea harengus,Herring,75,1,18,,,,fishbase_web_scrape,5,38,fishbase+obis,0,50,species_table,,environmental_preferences,,,,,
jod,Zeus faber,John Dory,75,10,20,13,17,15,Marine Biology,5,38,fishbase+obis,5,400,fishbase,,environmental_preferences,,,,,Temperate species. European waters 13-17°C.
lta,Euthynnus alletteratus,Little Tunny,75,18,30,20,28,24,Tropical/Angler Data,5,38,fishbase+obis,1,150,fishbase,,environmental_preferences,,,,,Warm water tuna. Subtropical/tropical 20-28°C. Tracks temperature fronts and thermal boundaries; highly migratory following warm currents.
mac,Scomber scombrus,Mackerel,75,8,20,11,14,12.5,ICES/Marine Biology,5,38,fishbase+obis,0,50,species_table,,environmental_preferences,,,,,Atlantic mackerel prefer 11-14°C. Migrate seasonally following temperature gradients. Avoid <8°C and >20°C.
ldb,Lepidorhombus whiffiagonis,Megrim,75,,,,,,,30,38,fishbase+obis,100,700,fishbase,mixed,environmental_preferences,,,,,
CMP,Serranus scriba,Painted Comber,75,,,,,,,30,38,fishbase+obis,5,150,fishbase,"rock, weed",environmental_preferences,,,,,
PIC,Spicara smaris,Picarel,75,,,,,,,30,38,fishbase+obis,15,328,fishbase,mixed,environmental_preferences,,,,,
GUR,Chelidonichthys cuculus,Red Gurnard,75,,,,,,,30,38,fishbase+obis,15,400,fishbase,"rock, sand, mixed",environmental_preferences,,,,,
WRO,Centrolabrus exoletus,Rock Cook,75,,,,,,,30,38,fishbase+obis,7,26,obis,"rock, weed",environmental_preferences,,,,,
SAL,Sarpa salpa,Salema (Saupe),75,,,,,,,5,38,fishbase+obis,5,70,fishbase,"rock, sand, weed",environmental_preferences,,,,,
pil,Sardina pilchardus,Sardine,75,10,20,13,17,15,ICES/Marine Biology,5,38,fishbase+obis,10,100,fishbase,,environmental_preferences,,,,,Temperate pelagic species. European waters 13-17°C.
RME,Raja microocellata,Small-eyed Ray,75,,,,,,,30,38,fishbase+obis,3,60,species_table,"mixed, sand",environmental_preferences,,,,,
bsp,Dicentrarchus punctatus,Spotted Bass,75,,,,,,,5,38,fishbase+obis,0,50,species_table,"rock, sand",environmental_preferences,,,,,
spr,Sprattus sprattus,Sprat,75,4,16,7,12,9.5,ICES/Marine Biology,5,38,fishbase+obis,10,150,fishbase,,environmental_preferences,,,,,Cold-temperate small pelagic. Baltic/North Sea 7-12°C.
cut,Sepia officinalis,Common Cuttlefish,50,10,20,13,17,15,Marine Biology,,,,8,101,obis,,environmental_preferences,,,,,Temperate cephalopod. Common 13-17°C. Seasonal migrations.
oct,Octopus vulgaris,Common Octopus,50,12,25,16,21,18.5,Marine Biology/Mediterranean,,,,12,134,obis,,environmental_preferences,,,,,Warm water cephalopod. Mediterranean and southern waters 16-21°C.
sqc,Loligo vulgaris,Common Squid,50,9,18,10,18,14,Marine Biology/Angler Data,,,,14,69,obis,,environmental_preferences,,,,,Temperate squid. European waters 10-18°C. Spawning temperature-linked; seasonal movements track thermal boundaries.
sbg,Gilthead Seabream,Gilthead Seabream,50,15,26,18,24,21,Angler Data/Mediterranean,,,,0,50,species_table,,environmental_preferences,,,,,Won't feed well below ~15°C; very responsive to seasonal warming. Excellent correlation between temp and bite rate.
sai,Saithe/Pollock,Saithe/Pollock,50,3,14,6,14,10,ICES/Angler Data/Marine Biology,,,,0,50,species_table,,environmental_preferences,,,,,Cold water species. Follows thermoclines 6-14°C. Colder than pollack but more temperature-tolerant than previously thought. Deep-water comfort zone shifts with temperature stratification.
wra,Labridae spp.,Wrasse (various),25,,,,,,,,,,0,50,species_table,,environmental_preferences,,,,,
