slug,common_name,scientific_name,usda_min,usda_max,rhs_min,rhs_max,notes
courgette,Courgette / zucchini,Cucurbita pepo,5,11,H1c,H1c,Frost-tender annual; killed at first frost; one of the most widely grown UK summer vegetables
cucumber-pickling,Cucumber (pickling),Cucumis sativus,5,11,H1c,H1c,Frost-tender; heat-demanding; glasshouse or polytunnel in most of UK
cucumber,Cucumber (salad),Cucumis sativus,5,11,H1c,H1c,Frost-tender; ridge cucumbers more tolerant than greenhouse types but still H1c
kale-curly,Curly kale,Brassica oleracea var. sabellica,3,9,H5,H6,One of the hardiest vegetables; stands through hard UK winters; improves after frost
daikon-radish,Daikon radish,Raphanus sativus var. longipinnatus,4,9,H4,H5,Hardy; autumn-sown roots overwinter in mild UK conditions; mooli types slightly less hardy
soybean-edamame,Edamame / soybean,Glycine max,5,10,H1c,H1c,Frost-tender annual; marginal outdoors in UK; needs warm summer; sow under glass
elephant-garlic,Elephant garlic,Allium ampeloprasum,4,9,H5,H5,Very hardy; plant in autumn; cloves overwinter reliably in UK ground
endive,Endive,Cichorium endivia,4,9,H3,H4,Some frost tolerance; overwinters under cloche or fleece; cut-and-come autumn/winter salad
escarole,Escarole,Cichorium endivia var. latifolium,4,9,H3,H4,Same cold tolerance as endive; broad-leaved type; autumn/winter under protection
fava-bean,Fava bean (broad bean),Vicia faba,3,10,H5,H6,Same as broad-bean; overwintering (autumn-sown) varieties are reliably H6
fennel-bulb,Fennel (bulb),Foeniculum vulgare var. azoricum,6,10,H3,H3,Florence/bulb fennel less hardy than herb fennel; roots do not overwinter reliably in UK; grown as annual
fenugreek-greens,Fenugreek greens (methi),Trigonella foenum-graecum,5,11,H2,H2,Half-hardy annual; frost-tender; sow after last frost; not reliably outdoor crop in northern UK
french-bean,French bean,Phaseolus vulgaris,4,10,H1c,H1c,Frost-tender annual; same family as bush bean; sow after last frost
peas-garden,Garden peas,Pisum sativum,3,8,H5,H5,Frost-hardy; overwintering peas (Meteor Feltham First) H5-H6; hardy annual
garlic,Garlic,Allium sativum,3,8,H5,H6,Planted in autumn; overwintering bulbs are H5-H6; very cold-hardy UK staple
garlic-chive,Garlic chive,Allium tuberosum,4,9,H5,H5,Hardy perennial allium; dies back in winter but bulbs survive reliably
ginger,Ginger (culinary),Zingiber officinale,9,13,H1b,H1b,Tropical rhizome; frost-tender; container in heated glasshouse; no outdoor use in UK
artichoke-globe,Globe artichoke,Cynara scolymus,6,10,H3,H3,Half-hardy in UK; needs mulch and fleece in winter; reliable in south-west; less so in Midlands and north
cabbage-green,Green cabbage,Brassica oleracea var. capitata,3,8,H5,H5,Same as cabbage; winter-type green cabbages stand through hard UK winters
ground-cherry,Ground cherry,Physalis pruinosa,5,11,H1c,H1c,Frost-tender annual; grown under glass or after last frost; similar conditions to tomato
horseradish,Horseradish,Armoracia rusticana,3,8,H6,H7,Extremely hardy perennial; roots survive -20C; can be invasive; difficult to eradicate once established
pepper-hot,Hot pepper (very hot types),Capsicum chinense,8,12,H1c,H1c,More heat-demanding than C. annuum; frost-tender; glasshouse crop only in UK
lettuce-iceberg,Iceberg lettuce,Lactuca sativa var. capitata,4,10,H3,H3,Same cold tolerance as other lettuces; not hard-frost hardy; autumn/winter under cover
jerusalem-artichoke,Jerusalem artichoke,Helianthus tuberosus,3,9,H6,H6,Very hardy perennial; tubers survive -20C in ground; can spread aggressively
jicama,Jicama,Pachyrhizus erosus,9,13,H1b,H1b,Tropical tuber; frost-tender; no outdoor use in UK
kohlrabi,Kohlrabi,Brassica oleracea Gongylodes Group,4,9,H4,H5,Reasonably frost-hardy; autumn sowings overwinter under cover; hardiness varies by variety
kale-lacinato,Lacinato kale,Brassica oleracea var. palmifolia,4,9,H5,H6,Cavolo nero; as hardy as curly kale; stands through hard UK winters; very decorative
leek,Leek,Allium ampeloprasum var. porrum,3,7,H6,H6,Extremely frost-hardy; one of the key UK winter vegetables; stands in ground through hard winters
lettuce,Lettuce,Lactuca sativa,2,11,H3,H3,Frost-tolerant but not hard-frost hardy; USDA 2-11 reflects growth as annual; winter varieties need fleece
lima-bean,Lima bean,Phaseolus lunatus,7,11,H1c,H1c,Frost-tender; tropical crop; very difficult in UK even in warmest south; greenhouse recommended
lettuce-looseleaf,Looseleaf lettuce,Lactuca sativa var. crispa,3,10,H3,H3,Same cold tolerance as other lettuces; useful cut-and-come-again autumn crop under cover
malabar-spinach,Malabar spinach,Basella alba,9,11,H1b,H1b,Tropical leaf; frost-tender; heated glasshouse only in UK; no outdoor use
melon-cantaloupe,Melon (cantaloupe type),Cucumis melo,6,11,H1c,H1c,Frost-tender; needs heat; glasshouse or polytunnel in UK; outdoor crop very marginal even in south
mizuna,Mizuna,Brassica rapa var. nipposinica,4,10,H4,H5,Hardy Oriental leaf; tolerates moderate frost; useful winter salad under cover or in cold frame
multiplier-onion,Multiplier onion,Allium cepa Aggregatum Group,4,9,H5,H5,Hardy; same cold tolerance as shallot; planted in autumn or spring
mustard-greens,Mustard greens,Brassica juncea,4,10,H4,H4,Frost-hardy leaf; autumn/winter crop under cover; hardy enough for UK polytunnel all-year
okra,Okra,Abelmoschus esculentus,7,11,H1c,H1c,Frost-tender; glasshouse crop in UK; only outdoor crop in warmest sheltered south in long hot summer
onion,Onion,Allium cepa,3,9,H5,H5,Hardy; sets planted in autumn or spring; bulbs form as day-length increases; very reliable UK crop
pak-choi,Pak choi / bok choy,Brassica rapa subsp. chinensis,4,9,H4,H4,Frost-hardy; autumn/winter crop under cover; bolt-prone in cold; successional sowing recommended
parsnip,Parsnip,Pastinaca sativa,3,8,H6,H6,Extremely frost-hardy; flavour improved by frost; roots left in ground all winter; UK winter staple
squash-pattypan,Pattypan squash,Cucurbita pepo,5,11,H1c,H1c,Frost-tender annual; same as courgette; harvest before first frost
pea,Pea,Pisum sativum,2,11,H5,H5,Frost-hardy; USDA 2-11 reflects growth as annual; overwintering varieties (Meteor) H5-H6
tomato-plum,Plum/Roma tomato,Solanum lycopersicum,4,11,H1c,H1c,Frost-tender annual; same as all tomatoes
potato,Potato,Solanum tuberosum,3,9,H1c,H1c,Tops are frost-tender (H1c); tubers more tolerant (H3) in mild soil; earth up to protect from late frosts
pumpkin,Pumpkin,Cucurbita maxima,4,10,H1c,H1c,Frost-tender annual; harvest before first frost; cure skins for storage
purslane,Purslane (garden),Portulaca oleracea,5,11,H1c,H1c,Frost-tender annual weed/vegetable; self-seeds prolifically in warm soils
radicchio,Radicchio,Cichorium intybus var. foliosum,5,9,H4,H4,Tolerates moderate frost; useful overwintering salad; outdoor in mild areas; fleece in cold spells
radish,Radish,Raphanus sativus,3,10,H4,H5,Frost-tolerant; summer radishes H4; winter mooli types H5; fast crop
rakkyo,Rakkyo / pickling onion,Allium chinense,5,9,H5,H5,Hardy allium; similar cold tolerance to shallot; autumn-planted
cabbage-red,Red cabbage,Brassica oleracea var. capitata f. rubra,3,8,H5,H5,Same as cabbage; very hardy; winter red cabbage stands through hard UK winters
rhubarb,Rhubarb,Rheum x hybridum,3,8,H6,H7,Extremely hardy perennial; needs cold dormancy to perform well; crowns survive hard UK winters
rocket,Rocket / arugula,Eruca vesicaria subsp. sativa,4,10,H4,H4,Frost-tolerant; overwinters under cover in UK; quick-growing autumn/winter salad staple
lettuce-romaine,Romaine lettuce,Lactuca sativa var. longifolia,3,10,H3,H3,Same cold tolerance as other lettuces; not hard-frost hardy; autumn use under cover
romanesco,Romanesco broccoli,Brassica oleracea var. botrytis,4,8,H4,H5,Slightly hardier than summer cauliflower; autumn/winter harvest in mild UK areas
runner-bean,Runner bean,Phaseolus coccineus,7,10,H1c,H1c,Tops are frost-tender (H1c); tubers H3 in very mild gardens but usually lifted; grown as annual in UK
salsify,Salsify,Tragopogon porrifolius,4,8,H5,H5,Hardy biennial; roots can be left in ground all winter; UK heritage vegetable
cabbage-savoy,Savoy cabbage,Brassica oleracea var. sabauda,3,8,H5,H6,One of the hardiest cabbages; crinkled leaves withstand hard frost; UK winter staple
scarlet-runner-bean,Scarlet runner bean,Phaseolus coccineus,4,9,H1c,H1c,Same as runner bean; tops frost-tender; treated as annual in UK despite perennial tubers
shallot,Shallot,Allium cepa Aggregatum Group,4,9,H5,H5,Hardy; planted in autumn or early spring; clumps overwinter reliably in UK ground
peas-snow,Snow peas,Pisum sativum var. macrocarpon,3,8,H5,H5,Same frost-hardiness as garden peas; eaten whole while pods are flat
sorrel,Sorrel,Rumex acetosa,4,9,H5,H6,Very hardy perennial; dies back in winter but roots and crowns survive; regrows early in spring
squash-spaghetti,Spaghetti squash,Cucurbita pepo,5,11,H1c,H1c,Frost-tender annual; harvest before first frost
spinach,Spinach,Spinacia oleracea,3,9,H5,H5,Frost-hardy; winter spinach (Viroflay Perpetual) is a UK staple; bolts in heat
spring-onion,Spring onion / scallion,Allium fistulosum,3,9,H5,H6,Very hardy; overwintering varieties (White Lisbon Winter Hardy) are H6; UK year-round crop
sprouting-broccoli,Sprouting broccoli,Brassica oleracea var. italica,4,8,H5,H6,Purple sprouting is one of the key UK winter/spring crops; very frost-hardy; better after hard frost
peas-snap,Sugar snap peas,Pisum sativum var. macrocarpon,3,8,H5,H5,Same frost-hardiness as garden peas; eaten whole when pod is full
swede-rutabaga,Swede / rutabaga,Brassica napus subsp. rapifera,3,7,H6,H6,Extremely hardy; improved by frost; UK winter staple; roots left in ground all winter
pepper-sweet,Sweet / bell pepper,Capsicum annuum,6,11,H1c,H1c,Frost-tender; grown under glass in UK; same as chilli despite different USDA range in DB
pepper,Sweet pepper / bell pepper,Capsicum annuum,9,11,H1c,H1c,Same species as pepper-sweet; DB has two entries with different USDA ranges; both H1c
sweet-potato,Sweet potato,Ipomoea batatas,8,11,H2,H2,Frost-tender tops (die at first frost); tubers more tolerant; lift before first hard frost; possible in warmest UK summers
sweetcorn,Sweetcorn / maize,Zea mays convar. saccharata,4,10,H1c,H1c,Frost-tender annual; sow under glass April; plant out after last frost; needs warm summer
swiss-chard,Swiss chard,Beta vulgaris Cicla Group,3,10,H4,H5,Frost-hardy; overwinters in most of UK with some fleece protection; very useful winter leaf
taro,Taro,Colocasia esculenta,9,13,H1b,H1b,Tropical; frost-tender; container in heated glasshouse; no outdoor use in UK
tatsoi,Tatsoi,Brassica rapa subsp. narinosa,4,9,H4,H5,Very frost-hardy Oriental leaf; excellent winter salad under cover; one of the hardiest brassica leaves
tomatillo,Tomatillo,Physalis philadelphica,5,11,H1c,H1c,Frost-tender annual; similar conditions to tomato; plant out after last frost
tomato,Tomato,Solanum lycopersicum,4,11,H1c,H1c,Frost-tender; treated as annual outdoors; common error is H2 -- does not survive frost
turnip,Turnip,Brassica rapa subsp. rapa,3,8,H5,H6,Frost-hardy; winter turnips (Purple Top Milan) H6; improved by frost; UK winter staple
watercress,Watercress,Nasturtium officinale,4,9,H5,H6,Very hardy aquatic/semi-aquatic perennial; UK native; grows year-round in running water
watermelon,Watermelon (small varieties),Citrullus lanatus,6,11,H1c,H1c,Frost-tender; extremely heat-demanding; even under glass in UK is challenging; specialist crop
squash-winter,Winter squash (butternut etc.),Cucurbita moschata,5,11,H1c,H1c,Frost-tender annual; harvest before first frost; cure skins at 25-30C for storage
yacon,Yacon,Smallanthus sonchifolius,7,11,H2,H2,Tops frost-tender (H1c); tubers survive mild UK winters under thick mulch; lift in cold areas
squash-yellow,Yellow summer squash,Cucurbita pepo,5,11,H1c,H1c,Frost-tender annual; same as courgette; harvest young and often
herb-angelica,Angelica,Angelica archangelica,4,7,H5,H6,Hardy biennial/short-lived perennial; UK native hedgerow plant; self-seeds freely
anise-hyssop,Anise hyssop,Agastache foeniculum,4,9,H4,H5,Frost-hardy perennial; reliable in most UK gardens; dies back in winter; regrows well
herb-anise-hyssop,Anise hyssop,Agastache foeniculum,4,9,H4,H5,Duplicate of anise-hyssop; same ratings
herb-bay-laurel,Bay laurel,Laurus nobilis,7,10,H3,H3,Typically H3 in UK; established specimens in sheltered south-coast gardens may reach H4; can be cut back by hard winters
monarda,Bee balm (Monarda didyma),Monarda didyma,4,9,H5,H5,Hardy perennial; UK garden staple; dies back in winter; spreads by rhizome
verbena-blue,Blue vervain (Verbena hastata),Verbena hastata,3,8,H5,H6,Very hardy North American perennial; more reliably hardy than garden verbena
herb-borage,Borage,Borago officinalis,3,9,H5,H5,Frost-hardy self-seeding annual; seedlings survive mild UK winters; established plant H5
buckwheat,Buckwheat,Fagopyrum esculentum,4,9,H2,H2,Frost-tender annual green manure; killed by any significant frost; sow after last frost
burdock,Burdock,Arctium lappa,3,8,H5,H6,Very hardy biennial; UK native hedgerow plant; roots extremely cold-tolerant
herb-calendula,Calendula / pot marigold,Calendula officinalis,3,9,H5,H5,Frost-hardy annual; self-seeds freely; overwinters as seedling in mild UK areas
herb-catmint-ornamental,Catmint,Nepeta x faassenii,4,9,H5,H5,Reliable hardy perennial; cuts back in winter; regrows vigorously; Chelsea Chop extends flowering
catmint,Catmint (Nepeta),Nepeta x faassenii,4,9,H5,H5,Same as herb-catmint-ornamental; duplicate entry
herb-catnip,Catnip,Nepeta cataria,3,9,H5,H6,Very hardy perennial; UK naturalised; dies back but roots reliably survive hard winters
rye-cereal,Cereal rye,Secale cereale,3,8,H6,H7,Extremely cold-hardy cereal; overwinters reliably; valuable winter green manure
herb-chervil,Chervil,Anthriscus cerefolium,4,9,H5,H5,Frost-hardy annual/biennial; self-seeds; overwinters as rosette in mild UK; useful winter herb
chervil,Chervil,Anthriscus cerefolium,4,8,H5,H5,Duplicate of herb-chervil; same ratings
chive,Chive,Allium schoenoprasum,3,9,H6,H6,Very hardy perennial allium; dies back in winter; bulbs reliably survive UK winter ground
herb-chives-common,Chives,Allium schoenoprasum,3,9,H6,H6,Same as chive; duplicate entry
coltsfoot,Coltsfoot,Tussilago farfara,3,7,H6,H7,Native UK weed; extremely cold-hardy; flowers before leaves emerge in late winter
herb-comfrey,Comfrey (garden),Symphytum officinale,4,8,H5,H6,Very hardy UK native perennial; deep taproot; crowns survive hard winters; dies back in winter
herb-sage-common,Common sage,Salvia officinalis,5,9,H4,H5,Most common sage; H4 is reliable; old woody specimens can be damaged in very cold UK winters
herb-thyme-common,Common thyme,Thymus vulgaris,5,9,H4,H5,Common thyme; H4 in most UK gardens; old woody plants more vulnerable; divide every 3-4 years
vetch-common,Common vetch,Vicia sativa,3,9,H5,H6,Native UK plant; very cold-hardy green manure and wildflower; overwinters reliably
coriander,Coriander / cilantro,Coriandrum sativum,4,10,H3,H4,Frost-tolerant but not cold-hardy; late sowings overwinter as rosettes in mild areas under fleece
herb-coriander-leaf,Coriander / cilantro (leaf),Coriandrum sativum,4,10,H3,H4,Duplicate of coriander; same ratings
corsican-mint,Corsican mint,Mentha requienii,6,9,H3,H4,Less hardy than most mints; can be damaged in severe UK winters; thrives in sheltered moist positions
thyme-creeping,Creeping thyme,Thymus serpyllum,5,9,H5,H6,Wild thyme; native UK plant; very cold-hardy
crimson-clover,Crimson clover,Trifolium incarnatum,6,9,H3,H3,Half-hardy annual green manure; overwinters in mild UK areas only; killed by hard frost
herb-parsley-curly,Curly parsley,Petroselinum crispum var. crispum,4,9,H4,H5,Frost-hardy biennial; overwinters in most of UK; second year goes to seed
dill,Dill,Anethum graveolens,4,9,H4,H4,Frost-tolerant annual; killed by hard frost; sow successionally
herb-dill-leaf,Dill (leaf),Anethum graveolens,4,9,H4,H4,Duplicate of dill; same ratings
epazote,Epazote (Dysphania ambrosioides),Dysphania ambrosioides,6,10,H2,H3,Half-hardy annual; frost-tender; marginal UK crop; grow under glass or in warmest south
feverfew,Feverfew,Tanacetum parthenium,5,9,H5,H5,Hardy perennial/biennial; self-seeds freely; UK garden weed in places
herb-parsley-flat,Flat leaf parsley,Petroselinum crispum var. neapolitanum,4,9,H4,H5,Same cold tolerance as curly parsley; overwinters in most of UK
herb-tarragon-french,French tarragon,Artemisia dracunculus,5,8,H4,H5,Can be damaged in very cold UK winters; dies back; resprouts from roots; mulch in cold areas
herb-sorrel-common,Garden sorrel,Rumex acetosa,4,9,H5,H6,Very hardy UK native perennial; dies back in winter; regrows early in spring
garden-sorrel,Garden sorrel,Rumex acetosa,4,8,H5,H6,Duplicate of herb-sorrel-common; same ratings
herb-chamomile-german,German chamomile,Matricaria chamomilla,4,9,H5,H5,Frost-hardy annual; self-seeds prolifically; UK relative of native scented mayweed
herb-gotu-kola,Gotu kola,Centella asiatica,9,12,H1b,H2,Tropical/subtropical perennial; frost-tender; container plant in UK; overwinter in frost-free conditions
herb-basil-greek,Greek bush basil,Ocimum basilicum var. minimum,2,11,H1c,H1c,Frost-tender; USDA min 2 reflects growth as annual not cold tolerance; all basils die at first frost
herb-oregano-greek,Greek oregano,Origanum vulgare subsp. hirtum,5,9,H5,H5,Very hardy; UK native marjoram is same species; reliable perennial; stronger flavour than common oregano
herb-fennel-leaf,Herb fennel,Foeniculum vulgare,4,9,H4,H5,Herbal fennel hardier than Florence/bulb fennel; dies back but resprouts from base; can self-seed invasively
herb-holy-basil,Holy basil / tulsi,Ocimum tenuiflorum,2,12,H1c,H1c,Frost-tender; USDA min 2 reflects growth as annual; dies at first frost
herb-hyssop,Hyssop,Hyssopus officinalis,4,9,H4,H5,Semi-woody perennial; H4 in most UK gardens; can be cut back in severe winters
hyssop,Hyssop (Hyssopus officinalis),Hyssopus officinalis,5,9,H4,H5,Duplicate of herb-hyssop; same ratings
italian-ryegrass,Italian ryegrass,Lolium multiflorum,4,9,H5,H6,Frost-hardy agricultural grass; valuable winter green manure; UK widely naturalised
joe-pye-weed,Joe-Pye weed,Eutrochium purpureum,4,9,H5,H5,Very hardy North American perennial; late-season pollinator plant; reliable in UK gardens
kidney-vetch,Kidney vetch,Anthyllis vulneraria,4,8,H5,H6,Native UK plant; chalk and limestone indicator; very cold-hardy; valuable for pollinators
lemon-balm,Lemon balm,Melissa officinalis,4,9,H5,H5,Very hardy perennial; can be invasive; dies back in winter but regrows vigorously
herb-lemon-balm,Lemon balm,Melissa officinalis,4,9,H5,H5,Duplicate of lemon-balm; same ratings
herb-thyme-lemon,Lemon thyme,Thymus x citriodorus,5,9,H4,H5,Similar to common thyme; H4 reliable; some cultivars slightly less cold-hardy than T. vulgaris
herb-lemon-verbena,Lemon verbena,Aloysia citriodora,8,10,H3,H3,Frost-tender shrub; often cut back to roots in UK winters; reliable only in very sheltered south
herb-lovage,Lovage,Levisticum officinale,4,8,H5,H6,Very hardy perennial; UK cottage garden staple; dies back in winter; vigorous regrowth in spring
herb-marshmallow,Marshmallow,Althaea officinalis,3,9,H5,H6,Native UK perennial; salt-marsh and coastal plant; very cold-hardy
herb-milk-thistle,Milk thistle,Silybum marianum,5,9,H4,H5,Frost-hardy biennial; self-seeds; attractive ornamental herb
mugwort,Mugwort (Artemisia vulgaris),Artemisia vulgaris,4,8,H6,H6,Native UK perennial; extremely invasive; very cold-hardy; avoid unless deliberately managed
mullein,Mullein,Verbascum thapsus,4,9,H5,H6,Native UK biennial; very cold-hardy; dramatic architectural plant; self-seeds on free-draining soils
oats-green-manure,Oats (green manure),Avena sativa,3,9,H5,H6,Cold-hardy cereal; winter oats H6; spring oats H5; valuable green manure
herb-oregano,Oregano,Origanum vulgare,5,9,H5,H5,Very hardy UK native perennial; flowers attract bees; cut back in spring
parsley,Parsley,Petroselinum crispum,4,9,H4,H5,Frost-hardy biennial; overwinters in most of UK; fleece in very cold spells; second year runs to seed
pennyroyal,Pennyroyal (Mentha pulegium),Mentha pulegium,6,9,H3,H4,Less hardy than most mints; needs a sheltered moist position; can be damaged in severe UK winters
herb-mint-peppermint,Peppermint,Mentha x piperita,4,9,H5,H5,Very hardy spreading perennial; dies back in winter; grows back vigorously; best contained
fennel-perennial,Perennial fennel,Foeniculum vulgare,4,9,H4,H5,Same as herb-fennel-leaf; herbal fennel; dies back but resprouts from base
perennial-pea,Perennial sweet pea,Lathyrus latifolius,4,9,H5,H6,Very hardy climbing perennial; UK cottage garden staple; dies back in winter; long-lived
phacelia-covercrop,Phacelia (cover crop),Phacelia tanacetifolia,5,9,H3,H3,Half-hardy annual green manure; killed by hard frost; excellent bee forage
herb-sage-pineapple,Pineapple sage,Salvia elegans,8,11,H2,H3,Frost-tender; container or very sheltered UK wall garden; often treated as annual in UK
herb-sage-purple,Purple sage,Salvia officinalis,5,9,H4,H5,Same species as common sage; same cold tolerance; H4 reliable
red-clover,Red clover,Trifolium pratense,3,9,H6,H6,Native UK perennial/biennial; extremely cold-hardy; valuable nitrogen-fixer and pollinator plant
herb-chamomile-roman,Roman chamomile,Chamaemelum nobile,4,9,H5,H5,Native UK perennial; low-growing; lawn chamomile; reliably cold-hardy
herb-rosemary,Rosemary,Salvia rosmarinus,7,10,H4,H4,Typically H4 in UK; Miss Jessopp's Upright and ARP cultivars hardier; prostrate forms slightly less reliable
rue,Rue (Ruta graveolens),Ruta graveolens,6,9,H4,H5,Semi-woody perennial; reasonably hardy in UK; old growth can be cut back in very cold winters
russian-comfrey,Russian comfrey,Symphytum x uplandicum,4,9,H5,H6,Sterile hybrid; beloved of no-dig gardeners for chop-and-drop mulch; very cold-hardy
self-heal,Self-heal (Prunella vulgaris),Prunella vulgaris,4,9,H6,H6,Native UK lawn and meadow plant; extremely cold-hardy
sheep-sorrel,Sheep sorrel,Rumex acetosella,3,8,H6,H7,Native UK plant; acid soil indicator; extremely cold-hardy perennial
sheep-sorrel-2,Sheep sorrel (alt strain),Rumex acetosella,3,8,H6,H7,Same species as sheep-sorrel; duplicate entry; same ratings
herb-skullcap,Skullcap,Scutellaria lateriflora,4,9,H5,H5,North American medicinal herb; frost-hardy perennial; reliable in UK gardens
southernwood,Southernwood (Artemisia abrotanum),Artemisia abrotanum,4,8,H5,H5,Semi-woody aromatic perennial; reliably hardy in UK; trim in spring to prevent woodiness
herb-mint-spearmint,Spearmint,Mentha spicata,4,9,H5,H6,Very hardy spreading perennial; contains better than peppermint; dies back but roots survive hard winters
herb-st-johns-wort,St John's wort,Hypericum perforatum,4,8,H5,H6,Native UK perennial; very cold-hardy; semi-evergreen
herb-stevia,Stevia,Stevia rebaudiana,8,11,H2,H3,Frost-tender perennial; often treated as annual in UK; overwinter in frost-free conditions
herb-savoury-summer,Summer savoury,Satureja hortensis,6,9,H2,H2,Half-hardy annual; frost-tender; sow after last frost; classic companion to beans
herb-basil-sweet,Sweet basil,Ocimum basilicum,2,11,H1c,H1c,Frost-tender; USDA min 2 reflects growth as annual; dies at any frost
sweet-clover,Sweet clover,Melilotus officinalis,3,9,H5,H6,Native/naturalised UK biennial; very cold-hardy; excellent bee forage
herb-marjoram-sweet,Sweet marjoram,Origanum majorana,7,9,H3,H3,Less hardy than oregano; commonly treated as annual in UK; frost-tender in most areas
herb-sweet-woodruff,Sweet woodruff,Galium odoratum,4,8,H5,H6,Native UK woodland perennial; very cold-hardy; spreads under shade
herb-tansy,Tansy,Tanacetum vulgare,3,8,H6,H6,Native UK perennial; extremely hardy; invasive -- spreads by runners; use with caution
tansy,Tansy (Tanacetum vulgare),Tanacetum vulgare,3,8,H6,H6,Duplicate of herb-tansy; same ratings
herb-basil-thai,Thai basil,Ocimum basilicum var. thyrsiflorum,2,11,H1c,H1c,Frost-tender; USDA min 2 reflects annual cultivation not cold tolerance; dies at first frost
herb-valerian,Valerian,Valeriana officinalis,4,9,H5,H6,Very hardy UK native perennial; tall and architectural; self-seeds; dies back in winter
valerian,Valerian,Valeriana officinalis,4,9,H5,H6,Duplicate of herb-valerian; same ratings
white-clover,White clover,Trifolium repens,3,9,H6,H6,Native UK lawn plant; extremely cold-hardy; valuable nitrogen-fixer
monarda-wild,Wild bergamot (Monarda fistulosa),Monarda fistulosa,3,9,H5,H6,Very hardy North American perennial; related to bee balm; reliably cold-hardy in UK
herb-savoury-winter,Winter savoury,Satureja montana,5,8,H4,H5,Semi-woody perennial; hardier than summer savoury; reliable in UK gardens
